# xllcorner: -5913260.24
# yllcorner: 4729959.52
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: 250m_16_days_NDVI
# units: NDVI ratio - No units
# scale: 0.0001
# latitude: 42.5378
# longitude: -72.1715
# site: HarvardForest_NDVI
# product: MOD13Q1
# start: 13973
# end: 17787
# complete: TRUE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2008097,2008-04-06,250m_16_days_NDVI,h12v04,2015173055019,1,6390
A2008113,2008-04-22,250m_16_days_NDVI,h12v04,2015173161828,1,6387
A2008129,2008-05-08,250m_16_days_NDVI,h12v04,2015175092334,1,7348
A2008145,2008-05-24,250m_16_days_NDVI,h12v04,2015175110907,1,8346
A2008161,2008-06-09,250m_16_days_NDVI,h12v04,2015176073508,1,8926
A2008177,2008-06-25,250m_16_days_NDVI,h12v04,2015176071832,1,8933
A2008193,2008-07-11,250m_16_days_NDVI,h12v04,2015177050126,1,9006
A2008209,2008-07-27,250m_16_days_NDVI,h12v04,2015177045858,1,8974
A2008225,2008-08-12,250m_16_days_NDVI,h12v04,2015178164012,1,8971
A2008241,2008-08-28,250m_16_days_NDVI,h12v04,2015179220434,1,8810
A2008257,2008-09-13,250m_16_days_NDVI,h12v04,2015179223220,1,8640
A2008273,2008-09-29,250m_16_days_NDVI,h12v04,2015180221723,1,7808
A2008289,2008-10-15,250m_16_days_NDVI,h12v04,2015180223736,1,6428
A2008305,2008-10-31,250m_16_days_NDVI,h12v04,2015181142024,1,6618
A2008321,2008-11-16,250m_16_days_NDVI,h12v04,2015181150113,1,6578
A2008337,2008-12-02,250m_16_days_NDVI,h12v04,2015184003812,1,6667
A2008353,2008-12-18,250m_16_days_NDVI,h12v04,2018226094624,1,5036
A2009001,2009-01-01,250m_16_days_NDVI,h12v04,2015186061455,1,3544
A2009017,2009-01-17,250m_16_days_NDVI,h12v04,2015186062530,1,4525
A2009033,2009-02-02,250m_16_days_NDVI,h12v04,2015187064439,1,5411
A2009049,2009-02-18,250m_16_days_NDVI,h12v04,2015187063425,1,3230
A2009065,2009-03-06,250m_16_days_NDVI,h12v04,2015188090156,1,6004
A2009081,2009-03-22,250m_16_days_NDVI,h12v04,2015188091614,1,5932
A2009097,2009-04-07,250m_16_days_NDVI,h12v04,2015189152707,1,5957
A2009113,2009-04-23,250m_16_days_NDVI,h12v04,2015189153227,1,5729
A2009129,2009-05-09,250m_16_days_NDVI,h12v04,2015189212107,1,8609
A2009145,2009-05-25,250m_16_days_NDVI,h12v04,2015190122258,1,8650
A2009161,2009-06-10,250m_16_days_NDVI,h12v04,2015190223549,1,3493
A2009177,2009-06-26,250m_16_days_NDVI,h12v04,2015191095942,1,8977
A2009193,2009-07-12,250m_16_days_NDVI,h12v04,2015192135920,1,9040
A2009209,2009-07-28,250m_16_days_NDVI,h12v04,2015192141938,1,8997
A2009225,2009-08-13,250m_16_days_NDVI,h12v04,2015194144444,1,8877
A2009241,2009-08-29,250m_16_days_NDVI,h12v04,2015194151213,1,8841
