"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2008113","2008-04-22","250m_16_days_NDVI","h12v04",2015173161828,1,4333
"A2008129","2008-05-08","250m_16_days_NDVI","h12v04",2015175092334,1,6902
"A2008145","2008-05-24","250m_16_days_NDVI","h12v04",2015175110907,1,8532
"A2008161","2008-06-09","250m_16_days_NDVI","h12v04",2015176073508,1,8718
"A2008177","2008-06-25","250m_16_days_NDVI","h12v04",2015176071832,1,8787
"A2008193","2008-07-11","250m_16_days_NDVI","h12v04",2015177050126,1,8928
"A2008209","2008-07-27","250m_16_days_NDVI","h12v04",2015177045858,1,9362
"A2008225","2008-08-12","250m_16_days_NDVI","h12v04",2015178164012,1,8478
"A2008241","2008-08-28","250m_16_days_NDVI","h12v04",2015179220434,1,8660
"A2008257","2008-09-13","250m_16_days_NDVI","h12v04",2015179223220,1,8478
"A2008273","2008-09-29","250m_16_days_NDVI","h12v04",2015180221723,1,5687
"A2008289","2008-10-15","250m_16_days_NDVI","h12v04",2015180223736,1,5200
"A2008305","2008-10-31","250m_16_days_NDVI","h12v04",2015181142024,1,5340
"A2008321","2008-11-16","250m_16_days_NDVI","h12v04",2015181150113,1,5103
"A2008337","2008-12-02","250m_16_days_NDVI","h12v04",2015184003812,1,3067
"A2008353","2008-12-18","250m_16_days_NDVI","h12v04",2018226094624,1,3794
"A2009001","2009-01-01","250m_16_days_NDVI","h12v04",2015186061455,1,4075
"A2009017","2009-01-17","250m_16_days_NDVI","h12v04",2015186062530,1,3899
"A2009033","2009-02-02","250m_16_days_NDVI","h12v04",2015187064439,1,1988
"A2009049","2009-02-18","250m_16_days_NDVI","h12v04",2015187063425,1,3483
"A2009065","2009-03-06","250m_16_days_NDVI","h12v04",2015188090156,1,3467
"A2009081","2009-03-22","250m_16_days_NDVI","h12v04",2015188091614,1,2240
"A2009097","2009-04-07","250m_16_days_NDVI","h12v04",2015189152707,1,3642
"A2009113","2009-04-23","250m_16_days_NDVI","h12v04",2015189153227,1,4488
"A2009129","2009-05-09","250m_16_days_NDVI","h12v04",2015189212107,1,7858
"A2009145","2009-05-25","250m_16_days_NDVI","h12v04",2015190122258,1,8586
"A2009161","2009-06-10","250m_16_days_NDVI","h12v04",2015190223549,1,8356
"A2009177","2009-06-26","250m_16_days_NDVI","h12v04",2015191095942,1,8981
"A2009193","2009-07-12","250m_16_days_NDVI","h12v04",2015192135920,1,2862
"A2009209","2009-07-28","250m_16_days_NDVI","h12v04",2015192141938,1,8811
"A2009225","2009-08-13","250m_16_days_NDVI","h12v04",2015194144444,1,8523
"A2009241","2009-08-29","250m_16_days_NDVI","h12v04",2015194151213,1,8639
"A2009257","2009-09-14","250m_16_days_NDVI","h12v04",2015194225201,1,8453
"A2009273","2009-09-30","250m_16_days_NDVI","h12v04",2015195131247,1,6590
"A2009289","2009-10-16","250m_16_days_NDVI","h12v04",2015195225214,1,5336
"A2009305","2009-11-01","250m_16_days_NDVI","h12v04",2015196133754,1,5286
"A2009321","2009-11-17","250m_16_days_NDVI","h12v04",2015196201936,1,5021
"A2009337","2009-12-03","250m_16_days_NDVI","h12v04",2015197071026,1,5321
"A2009353","2009-12-19","250m_16_days_NDVI","h12v04",2018226094150,1,4248
"A2010001","2010-01-01","250m_16_days_NDVI","h12v04",2015198104435,1,4493
"A2010017","2010-01-17","250m_16_days_NDVI","h12v04",2015198194524,1,4480
"A2010033","2010-02-02","250m_16_days_NDVI","h12v04",2015199114834,1,3857
"A2010049","2010-02-18","250m_16_days_NDVI","h12v04",2015200022405,1,3976
"A2010065","2010-03-06","250m_16_days_NDVI","h12v04",2015206075414,1,3650
"A2010081","2010-03-22","250m_16_days_NDVI","h12v04",2015206080027,1,4376
"A2010097","2010-04-07","250m_16_days_NDVI","h12v04",2015206224557,1,4715
"A2010113","2010-04-23","250m_16_days_NDVI","h12v04",2015207160719,1,4681
"A2010129","2010-05-09","250m_16_days_NDVI","h12v04",2015207185453,1,8369
"A2010145","2010-05-25","250m_16_days_NDVI","h12v04",2015208150644,1,8431
"A2010161","2010-06-10","250m_16_days_NDVI","h12v04",2015208190936,1,8681
"A2010177","2010-06-26","250m_16_days_NDVI","h12v04",2015208204553,1,8853
"A2010193","2010-07-12","250m_16_days_NDVI","h12v04",2015209100341,1,8586
"A2010209","2010-07-28","250m_16_days_NDVI","h12v04",2015209150423,1,8355
"A2010225","2010-08-13","250m_16_days_NDVI","h12v04",2015210084039,1,8753
"A2010241","2010-08-29","250m_16_days_NDVI","h12v04",2015210102434,1,8672
"A2010257","2010-09-14","250m_16_days_NDVI","h12v04",2015211025724,1,7853
"A2010273","2010-09-30","250m_16_days_NDVI","h12v04",2015211141253,1,6911
"A2010289","2010-10-16","250m_16_days_NDVI","h12v04",2015211225711,1,5280
"A2010305","2010-11-01","250m_16_days_NDVI","h12v04",2015213072159,1,5381
"A2010321","2010-11-17","250m_16_days_NDVI","h12v04",2015213084125,1,5429
"A2010337","2010-12-03","250m_16_days_NDVI","h12v04",2015213170209,1,5694
"A2010353","2010-12-19","250m_16_days_NDVI","h12v04",2018226093642,1,6782
"A2011001","2011-01-01","250m_16_days_NDVI","h12v04",2015216115901,1,4909
"A2011017","2011-01-17","250m_16_days_NDVI","h12v04",2015216145710,1,3928
"A2011033","2011-02-02","250m_16_days_NDVI","h12v04",2015216133621,1,2249
"A2011049","2011-02-18","250m_16_days_NDVI","h12v04",2015216133649,1,3949
"A2011065","2011-03-06","250m_16_days_NDVI","h12v04",2015217063918,1,1757
"A2011081","2011-03-22","250m_16_days_NDVI","h12v04",2015217155020,1,1903
"A2011097","2011-04-07","250m_16_days_NDVI","h12v04",2015218085853,1,3259
"A2011113","2011-04-23","250m_16_days_NDVI","h12v04",2015218102532,1,4850
"A2011129","2011-05-09","250m_16_days_NDVI","h12v04",2015219101630,1,5511
"A2011145","2011-05-25","250m_16_days_NDVI","h12v04",2015219135044,1,8185
"A2011161","2011-06-10","250m_16_days_NDVI","h12v04",2015219192316,1,8738
"A2011177","2011-06-26","250m_16_days_NDVI","h12v04",2015220075338,1,8589
"A2011193","2011-07-12","250m_16_days_NDVI","h12v04",2015220124328,1,8652
"A2011209","2011-07-28","250m_16_days_NDVI","h12v04",2015221074528,1,8800
"A2011225","2011-08-13","250m_16_days_NDVI","h12v04",2015221114153,1,8611
"A2011241","2011-08-29","250m_16_days_NDVI","h12v04",2015221211526,1,8476
"A2011257","2011-09-14","250m_16_days_NDVI","h12v04",2015222095548,1,7925
"A2011273","2011-09-30","250m_16_days_NDVI","h12v04",2015222122519,1,6036
"A2011289","2011-10-16","250m_16_days_NDVI","h12v04",2015229095419,1,4987
"A2011305","2011-11-01","250m_16_days_NDVI","h12v04",2015229102734,1,5268
"A2011321","2011-11-17","250m_16_days_NDVI","h12v04",2015229115555,1,5289
"A2011337","2011-12-03","250m_16_days_NDVI","h12v04",2015229234130,1,5980
"A2011353","2011-12-19","250m_16_days_NDVI","h12v04",2018226092800,1,3700
"A2012001","2012-01-01","250m_16_days_NDVI","h12v04",2015236165943,1,4510
"A2012017","2012-01-17","250m_16_days_NDVI","h12v04",2015237085216,1,2419
"A2012033","2012-02-02","250m_16_days_NDVI","h12v04",2015237195536,1,2860
"A2012049","2012-02-18","250m_16_days_NDVI","h12v04",2015238135008,1,3450
"A2012065","2012-03-05","250m_16_days_NDVI","h12v04",2015238152940,1,2441
"A2012081","2012-03-21","250m_16_days_NDVI","h12v04",2015239230140,1,4605
"A2012097","2012-04-06","250m_16_days_NDVI","h12v04",2015240113931,1,4786
"A2012113","2012-04-22","250m_16_days_NDVI","h12v04",2015240185706,1,6645
"A2012129","2012-05-08","250m_16_days_NDVI","h12v04",2015246095544,1,8317
"A2012145","2012-05-24","250m_16_days_NDVI","h12v04",2015246100016,1,8341
"A2012161","2012-06-09","250m_16_days_NDVI","h12v04",2015247051416,1,8802
