"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2011113","2011-04-23","250m_16_days_NDVI","h11v05",2015218101251,1,8336
"A2011129","2011-05-09","250m_16_days_NDVI","h11v05",2015219102117,1,7854
"A2011145","2011-05-25","250m_16_days_NDVI","h11v05",2015219140924,1,7904
"A2011161","2011-06-10","250m_16_days_NDVI","h11v05",2015219192234,1,8193
"A2011177","2011-06-26","250m_16_days_NDVI","h11v05",2015220084016,1,8819
"A2011193","2011-07-12","250m_16_days_NDVI","h11v05",2015220140539,1,8264
"A2011209","2011-07-28","250m_16_days_NDVI","h11v05",2015221075556,1,8785
"A2011225","2011-08-13","250m_16_days_NDVI","h11v05",2015221114011,1,8814
"A2011241","2011-08-29","250m_16_days_NDVI","h11v05",2015221205945,1,8114
"A2011257","2011-09-14","250m_16_days_NDVI","h11v05",2015222091828,1,7683
"A2011273","2011-09-30","250m_16_days_NDVI","h11v05",2015222121552,1,7803
"A2011289","2011-10-16","250m_16_days_NDVI","h11v05",2015223133107,1,6356
"A2011305","2011-11-01","250m_16_days_NDVI","h11v05",2015229102723,1,5932
"A2011321","2011-11-17","250m_16_days_NDVI","h11v05",2015229120437,1,5514
"A2011337","2011-12-03","250m_16_days_NDVI","h11v05",2015229234109,1,5387
"A2011353","2011-12-19","250m_16_days_NDVI","h11v05",2018226092814,1,5653
"A2012001","2012-01-01","250m_16_days_NDVI","h11v05",2015236171406,1,5549
"A2012017","2012-01-17","250m_16_days_NDVI","h11v05",2015237084901,1,5603
"A2012033","2012-02-02","250m_16_days_NDVI","h11v05",2015237195436,1,5395
"A2012049","2012-02-18","250m_16_days_NDVI","h11v05",2015238132312,1,5462
"A2012065","2012-03-05","250m_16_days_NDVI","h11v05",2015238152017,1,5637
"A2012081","2012-03-21","250m_16_days_NDVI","h11v05",2015239232253,1,6179
"A2012097","2012-04-06","250m_16_days_NDVI","h11v05",2015240114547,1,7448
"A2012113","2012-04-22","250m_16_days_NDVI","h11v05",2015240190447,1,7323
"A2012129","2012-05-08","250m_16_days_NDVI","h11v05",2015246095514,1,7766
"A2012145","2012-05-24","250m_16_days_NDVI","h11v05",2015246095931,1,8312
"A2012161","2012-06-09","250m_16_days_NDVI","h11v05",2015247052354,1,8582
"A2012177","2012-06-25","250m_16_days_NDVI","h11v05",2015247083052,1,8265
"A2012193","2012-07-11","250m_16_days_NDVI","h11v05",2015247171137,1,8894
"A2012209","2012-07-27","250m_16_days_NDVI","h11v05",2015248102758,1,8873
"A2012225","2012-08-12","250m_16_days_NDVI","h11v05",2015248124354,1,8480
"A2012241","2012-08-28","250m_16_days_NDVI","h11v05",2015249115508,1,8751
"A2012257","2012-09-13","250m_16_days_NDVI","h11v05",2015249155028,1,8117
"A2012273","2012-09-29","250m_16_days_NDVI","h11v05",2015249220114,1,6773
"A2012289","2012-10-15","250m_16_days_NDVI","h11v05",2015251140135,1,6508
"A2012305","2012-10-31","250m_16_days_NDVI","h11v05",2015251162305,1,5953
"A2012321","2012-11-16","250m_16_days_NDVI","h11v05",2015252201100,1,5790
"A2012337","2012-12-02","250m_16_days_NDVI","h11v05",2015252230738,1,6123
"A2012353","2012-12-18","250m_16_days_NDVI","h11v05",2018226105707,1,5935
"A2013001","2013-01-01","250m_16_days_NDVI","h11v05",2015254155028,1,5195
"A2013017","2013-01-17","250m_16_days_NDVI","h11v05",2015254145730,1,5658
"A2013033","2013-02-02","250m_16_days_NDVI","h11v05",2015256070610,1,5607
"A2013049","2013-02-18","250m_16_days_NDVI","h11v05",2015256172644,1,5628
"A2013065","2013-03-06","250m_16_days_NDVI","h11v05",2015256175404,1,5308
"A2013081","2013-03-22","250m_16_days_NDVI","h11v05",2015257073401,1,5265
"A2013097","2013-04-07","250m_16_days_NDVI","h11v05",2015257101842,1,6215
"A2013113","2013-04-23","250m_16_days_NDVI","h11v05",2015260121118,1,6742
