"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2014225","2014-08-13","250m_16_days_EVI","h12v04",2015289155518,1,6716
"A2014241","2014-08-29","250m_16_days_EVI","h12v04",2015289185048,1,5560
"A2014257","2014-09-14","250m_16_days_EVI","h12v04",2015291070941,1,4777
"A2014273","2014-09-30","250m_16_days_EVI","h12v04",2015291111515,1,3454
"A2014289","2014-10-16","250m_16_days_EVI","h12v04",2015291184337,1,1746
"A2014305","2014-11-01","250m_16_days_EVI","h12v04",2015292062241,1,1559
"A2014321","2014-11-17","250m_16_days_EVI","h12v04",2015292071755,1,1050
"A2014337","2014-12-03","250m_16_days_EVI","h12v04",2015294145300,1,1312
"A2014353","2014-12-19","250m_16_days_EVI","h12v04",2018226110113,1,1190
"A2015001","2015-01-01","250m_16_days_EVI","h12v04",2015295101443,1,1035
"A2015017","2015-01-17","250m_16_days_EVI","h12v04",2015295120550,1,1855
"A2015033","2015-02-02","250m_16_days_EVI","h12v04",2015296123113,1,414
"A2015049","2015-02-18","250m_16_days_EVI","h12v04",2015296153045,1,2213
"A2015065","2015-03-06","250m_16_days_EVI","h12v04",2015298001430,1,1671
"A2015081","2015-03-22","250m_16_days_EVI","h12v04",2015298183620,1,2237
"A2015097","2015-04-07","250m_16_days_EVI","h12v04",2015299002856,1,2184
"A2015113","2015-04-23","250m_16_days_EVI","h12v04",2015299023711,1,2564
"A2015129","2015-05-09","250m_16_days_EVI","h12v04",2015299150827,1,5189
"A2015145","2015-05-25","250m_16_days_EVI","h12v04",2015300234325,1,6733
"A2015161","2015-06-10","250m_16_days_EVI","h12v04",2015301071946,1,6289
"A2015177","2015-06-26","250m_16_days_EVI","h12v04",2015301215524,1,7202
"A2015193","2015-07-12","250m_16_days_EVI","h12v04",2015304010134,1,6175
"A2015209","2015-07-28","250m_16_days_EVI","h12v04",2015304025740,1,5865
"A2015225","2015-08-13","250m_16_days_EVI","h12v04",2015305194647,1,3210
"A2015241","2015-08-29","250m_16_days_EVI","h12v04",2015305210815,1,4829
"A2015257","2015-09-14","250m_16_days_EVI","h12v04",2015306150707,1,4958
"A2015273","2015-09-30","250m_16_days_EVI","h12v04",2015307053927,1,3645
"A2015289","2015-10-16","250m_16_days_EVI","h12v04",2015317212015,1,1977
"A2015305","2015-11-01","250m_16_days_EVI","h12v04",2015335130636,1,1564
"A2015321","2015-11-17","250m_16_days_EVI","h12v04",2015343140420,1,1476
"A2015337","2015-12-03","250m_16_days_EVI","h12v04",2016004171623,1,1751
"A2015353","2015-12-19","250m_16_days_EVI","h12v04",2018222150652,1,1265
"A2016001","2016-01-01","250m_16_days_EVI","h12v04",2016029064315,1,1861
"A2016017","2016-01-17","250m_16_days_EVI","h12v04",2016035114901,1,1831
"A2016033","2016-02-02","250m_16_days_EVI","h12v04",2016050030034,1,1491
"A2016049","2016-02-18","250m_16_days_EVI","h12v04",2016109133553,1,1480
"A2016065","2016-03-05","250m_16_days_EVI","h12v04",2016111112452,1,1714
"A2016081","2016-03-21","250m_16_days_EVI","h12v04",2017097232858,1,2610
"A2016097","2016-04-06","250m_16_days_EVI","h12v04",2016114040942,1,2623
"A2016113","2016-04-22","250m_16_days_EVI","h12v04",2016130115751,1,2200
"A2016129","2016-05-08","250m_16_days_EVI","h12v04",2016147113010,1,2773
"A2016145","2016-05-24","250m_16_days_EVI","h12v04",2016166160424,1,6777
"A2016161","2016-06-09","250m_16_days_EVI","h12v04",2016184000509,1,7383
"A2016177","2016-06-25","250m_16_days_EVI","h12v04",2016200095739,1,5894
"A2016193","2016-07-11","250m_16_days_EVI","h12v04",2016215085230,1,6908
"A2016209","2016-07-27","250m_16_days_EVI","h12v04",2016229083158,1,6034
"A2016225","2016-08-12","250m_16_days_EVI","h12v04",2016243085451,1,5648
"A2016241","2016-08-28","250m_16_days_EVI","h12v04",2016263150714,1,5387
"A2016257","2016-09-13","250m_16_days_EVI","h12v04",2016274150402,1,5154
"A2016273","2016-09-29","250m_16_days_EVI","h12v04",2016292070900,1,3505
"A2016289","2016-10-15","250m_16_days_EVI","h12v04",2016306040209,1,3725
"A2016305","2016-10-31","250m_16_days_EVI","h12v04",2016322044918,1,1733
"A2016321","2016-11-16","250m_16_days_EVI","h12v04",2016340093917,1,1579
"A2016337","2016-12-02","250m_16_days_EVI","h12v04",2016357042618,1,1482
"A2016353","2016-12-18","250m_16_days_EVI","h12v04",2017010085957,1,1111
"A2017001","2017-01-01","250m_16_days_EVI","h12v04",2017020221412,1,2104
"A2017017","2017-01-17","250m_16_days_EVI","h12v04",2017034073739,1,1528
"A2017033","2017-02-02","250m_16_days_EVI","h12v04",2017053061222,1,2343
"A2017049","2017-02-18","250m_16_days_EVI","h12v04",2017066032813,1,3753
"A2017065","2017-03-06","250m_16_days_EVI","h12v04",2017082120937,1,2269
"A2017081","2017-03-22","250m_16_days_EVI","h12v04",2017111085122,1,2610
"A2017097","2017-04-07","250m_16_days_EVI","h12v04",2017116142135,1,1608
"A2017113","2017-04-23","250m_16_days_EVI","h12v04",2017131014222,1,2606
"A2017129","2017-05-09","250m_16_days_EVI","h12v04",2017145231409,1,3713
"A2017145","2017-05-25","250m_16_days_EVI","h12v04",2017164072233,1,6718
"A2017161","2017-06-10","250m_16_days_EVI","h12v04",2017178081230,1,7361
"A2017177","2017-06-26","250m_16_days_EVI","h12v04",2017194070315,1,6760
"A2017193","2017-07-12","250m_16_days_EVI","h12v04",2017209233526,1,7269
"A2017209","2017-07-28","250m_16_days_EVI","h12v04",2017234112057,1,6793
"A2017225","2017-08-13","250m_16_days_EVI","h12v04",2017250141703,1,5598
"A2017241","2017-08-29","250m_16_days_EVI","h12v04",2017262085546,1,5664
"A2017257","2017-09-14","250m_16_days_EVI","h12v04",2017276132830,1,4665
"A2017273","2017-09-30","250m_16_days_EVI","h12v04",2017290090340,1,4057
"A2017289","2017-10-16","250m_16_days_EVI","h12v04",2017310141954,1,1672
"A2017305","2017-11-01","250m_16_days_EVI","h12v04",2017325113259,1,2013
"A2017321","2017-11-17","250m_16_days_EVI","h12v04",2017337222659,1,1604
"A2017337","2017-12-03","250m_16_days_EVI","h12v04",2017353223728,1,1189
"A2017353","2017-12-19","250m_16_days_EVI","h12v04",2018004224857,1,884
"A2018001","2018-01-01","250m_16_days_EVI","h12v04",2018017224335,1,1793
"A2018017","2018-01-17","250m_16_days_EVI","h12v04",2018033223518,1,1768
"A2018033","2018-02-02","250m_16_days_EVI","h12v04",2018049223556,1,1554
"A2018049","2018-02-18","250m_16_days_EVI","h12v04",2018066170005,1,2387
"A2018065","2018-03-06","250m_16_days_EVI","h12v04",2018082151717,1,1812
"A2018081","2018-03-22","250m_16_days_EVI","h12v04",2018097234142,1,1250
"A2018097","2018-04-07","250m_16_days_EVI","h12v04",2018113234211,1,2045
"A2018113","2018-04-23","250m_16_days_EVI","h12v04",2018129235823,1,2958
"A2018129","2018-05-09","250m_16_days_EVI","h12v04",2018151110658,1,5980
"A2018145","2018-05-25","250m_16_days_EVI","h12v04",2018162000932,1,5856
