"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2014225","2014-08-13","250m_16_days_NDVI","h12v04",2015289155518,1,8808
"A2014241","2014-08-29","250m_16_days_NDVI","h12v04",2015289185048,1,8998
"A2014257","2014-09-14","250m_16_days_NDVI","h12v04",2015291070941,1,7620
"A2014273","2014-09-30","250m_16_days_NDVI","h12v04",2015291111515,1,7054
"A2014289","2014-10-16","250m_16_days_NDVI","h12v04",2015291184337,1,6712
"A2014305","2014-11-01","250m_16_days_NDVI","h12v04",2015292062241,1,6260
"A2014321","2014-11-17","250m_16_days_NDVI","h12v04",2015292071755,1,6417
"A2014337","2014-12-03","250m_16_days_NDVI","h12v04",2015294145300,1,4432
"A2014353","2014-12-19","250m_16_days_NDVI","h12v04",2018226110113,1,5571
"A2015001","2015-01-01","250m_16_days_NDVI","h12v04",2015295101443,1,3583
"A2015017","2015-01-17","250m_16_days_NDVI","h12v04",2015295120550,1,7279
"A2015033","2015-02-02","250m_16_days_NDVI","h12v04",2015296123113,1,311
"A2015049","2015-02-18","250m_16_days_NDVI","h12v04",2015296153045,1,2822
"A2015065","2015-03-06","250m_16_days_NDVI","h12v04",2015298001430,1,3441
"A2015081","2015-03-22","250m_16_days_NDVI","h12v04",2015298183620,1,4518
"A2015097","2015-04-07","250m_16_days_NDVI","h12v04",2015299002856,1,3814
"A2015113","2015-04-23","250m_16_days_NDVI","h12v04",2015299023711,1,5282
"A2015129","2015-05-09","250m_16_days_NDVI","h12v04",2015299150827,1,8194
"A2015145","2015-05-25","250m_16_days_NDVI","h12v04",2015300234325,1,8901
"A2015161","2015-06-10","250m_16_days_NDVI","h12v04",2015301071946,1,9102
"A2015177","2015-06-26","250m_16_days_NDVI","h12v04",2015301215524,1,9207
"A2015193","2015-07-12","250m_16_days_NDVI","h12v04",2015304010134,1,9090
"A2015209","2015-07-28","250m_16_days_NDVI","h12v04",2015304025740,1,9204
"A2015225","2015-08-13","250m_16_days_NDVI","h12v04",2015305194647,1,7607
"A2015241","2015-08-29","250m_16_days_NDVI","h12v04",2015305210815,1,8956
"A2015257","2015-09-14","250m_16_days_NDVI","h12v04",2015306150707,1,8138
"A2015273","2015-09-30","250m_16_days_NDVI","h12v04",2015307053927,1,7198
"A2015289","2015-10-16","250m_16_days_NDVI","h12v04",2015317212015,1,6985
"A2015305","2015-11-01","250m_16_days_NDVI","h12v04",2015335130636,1,5563
"A2015321","2015-11-17","250m_16_days_NDVI","h12v04",2015343140420,1,6497
"A2015337","2015-12-03","250m_16_days_NDVI","h12v04",2016004171623,1,6137
"A2015353","2015-12-19","250m_16_days_NDVI","h12v04",2018222150652,1,7355
"A2016001","2016-01-01","250m_16_days_NDVI","h12v04",2016029064315,1,6929
"A2016017","2016-01-17","250m_16_days_NDVI","h12v04",2016035114901,1,8802
"A2016033","2016-02-02","250m_16_days_NDVI","h12v04",2016050030034,1,2084
"A2016049","2016-02-18","250m_16_days_NDVI","h12v04",2016109133553,1,2469
"A2016065","2016-03-05","250m_16_days_NDVI","h12v04",2016111112452,1,4790
"A2016081","2016-03-21","250m_16_days_NDVI","h12v04",2017097232858,1,3821
"A2016097","2016-04-06","250m_16_days_NDVI","h12v04",2016114040942,1,5878
"A2016113","2016-04-22","250m_16_days_NDVI","h12v04",2016130115751,1,5000
"A2016129","2016-05-08","250m_16_days_NDVI","h12v04",2016147113010,1,5578
"A2016145","2016-05-24","250m_16_days_NDVI","h12v04",2016166160424,1,8758
"A2016161","2016-06-09","250m_16_days_NDVI","h12v04",2016184000509,1,9037
"A2016177","2016-06-25","250m_16_days_NDVI","h12v04",2016200095739,1,9167
"A2016193","2016-07-11","250m_16_days_NDVI","h12v04",2016215085230,1,9154
"A2016209","2016-07-27","250m_16_days_NDVI","h12v04",2016229083158,1,9215
"A2016225","2016-08-12","250m_16_days_NDVI","h12v04",2016243085451,1,9204
"A2016241","2016-08-28","250m_16_days_NDVI","h12v04",2016263150714,1,9006
"A2016257","2016-09-13","250m_16_days_NDVI","h12v04",2016274150402,1,8776
"A2016273","2016-09-29","250m_16_days_NDVI","h12v04",2016292070900,1,7365
"A2016289","2016-10-15","250m_16_days_NDVI","h12v04",2016306040209,1,6223
"A2016305","2016-10-31","250m_16_days_NDVI","h12v04",2016322044918,1,5844
"A2016321","2016-11-16","250m_16_days_NDVI","h12v04",2016340093917,1,5704
"A2016337","2016-12-02","250m_16_days_NDVI","h12v04",2016357042618,1,6553
"A2016353","2016-12-18","250m_16_days_NDVI","h12v04",2017010085957,1,1774
"A2017001","2017-01-01","250m_16_days_NDVI","h12v04",2017020221412,1,6073
"A2017017","2017-01-17","250m_16_days_NDVI","h12v04",2017034073739,1,2907
"A2017033","2017-02-02","250m_16_days_NDVI","h12v04",2017053061222,1,6890
