"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2014097","2014-04-07","250m_16_days_EVI","h12v04",2015278233629,1,1981
"A2014113","2014-04-23","250m_16_days_EVI","h12v04",2015281100826,1,2043
"A2014129","2014-05-09","250m_16_days_EVI","h12v04",2015281105428,1,2618
"A2014145","2014-05-25","250m_16_days_EVI","h12v04",2015288000656,1,5198
"A2014161","2014-06-10","250m_16_days_EVI","h12v04",2015288071337,1,5919
"A2014177","2014-06-26","250m_16_days_EVI","h12v04",2015288072334,1,6338
"A2014193","2014-07-12","250m_16_days_EVI","h12v04",2015289004808,1,6816
"A2014209","2014-07-28","250m_16_days_EVI","h12v04",2015289031815,1,6033
"A2014225","2014-08-13","250m_16_days_EVI","h12v04",2015289155518,1,5567
"A2014241","2014-08-29","250m_16_days_EVI","h12v04",2015289185048,1,5136
"A2014257","2014-09-14","250m_16_days_EVI","h12v04",2015291070941,1,5275
"A2014273","2014-09-30","250m_16_days_EVI","h12v04",2015291111515,1,4267
"A2014289","2014-10-16","250m_16_days_EVI","h12v04",2015291184337,1,2809
"A2014305","2014-11-01","250m_16_days_EVI","h12v04",2015292062241,1,1118
"A2014321","2014-11-17","250m_16_days_EVI","h12v04",2015292071755,1,1251
"A2014337","2014-12-03","250m_16_days_EVI","h12v04",2015294145300,1,1436
"A2014353","2014-12-19","250m_16_days_EVI","h12v04",2018226110113,1,1565
"A2015001","2015-01-01","250m_16_days_EVI","h12v04",2015295101443,1,1470
"A2015017","2015-01-17","250m_16_days_EVI","h12v04",2015295120550,1,1701
"A2015033","2015-02-02","250m_16_days_EVI","h12v04",2015296123113,1,1564
"A2015049","2015-02-18","250m_16_days_EVI","h12v04",2015296153045,1,1899
"A2015065","2015-03-06","250m_16_days_EVI","h12v04",2015298001430,1,1481
"A2015081","2015-03-22","250m_16_days_EVI","h12v04",2015298183620,1,1516
"A2015097","2015-04-07","250m_16_days_EVI","h12v04",2015299002856,1,2233
