"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2013337","2013-12-03","250m_16_days_NDVI","h10v05",2015271135014,1,4883
"A2013353","2013-12-19","250m_16_days_NDVI","h10v05",2018226105952,1,4808
"A2014001","2014-01-01","250m_16_days_NDVI","h10v05",2015272062055,1,4484
"A2014017","2014-01-17","250m_16_days_NDVI","h10v05",2015273225920,1,4249
"A2014033","2014-02-02","250m_16_days_NDVI","h10v05",2015274233658,1,4110
"A2014049","2014-02-18","250m_16_days_NDVI","h10v05",2015274225835,1,4114
"A2014065","2014-03-06","250m_16_days_NDVI","h10v05",2015276174513,1,4293
"A2014081","2014-03-22","250m_16_days_NDVI","h10v05",2015276220146,1,4085
"A2014097","2014-04-07","250m_16_days_NDVI","h10v05",2015279000204,1,4818
"A2014113","2014-04-23","250m_16_days_NDVI","h10v05",2015281100924,1,7494
"A2014129","2014-05-09","250m_16_days_NDVI","h10v05",2015281103845,1,8154
"A2014145","2014-05-25","250m_16_days_NDVI","h10v05",2015287233529,1,7191
"A2014161","2014-06-10","250m_16_days_NDVI","h10v05",2015288073439,1,8474
"A2014177","2014-06-26","250m_16_days_NDVI","h10v05",2015288071411,1,8156
"A2014193","2014-07-12","250m_16_days_NDVI","h10v05",2015289002948,1,8289
"A2014209","2014-07-28","250m_16_days_NDVI","h10v05",2015289032253,1,7619
"A2014225","2014-08-13","250m_16_days_NDVI","h10v05",2015289154612,1,7486
"A2014241","2014-08-29","250m_16_days_NDVI","h10v05",2015289182839,1,7294
"A2014257","2014-09-14","250m_16_days_NDVI","h10v05",2015291062649,1,7169
"A2014273","2014-09-30","250m_16_days_NDVI","h10v05",2015291111651,1,6811
"A2014289","2014-10-16","250m_16_days_NDVI","h10v05",2015291191631,1,6467
"A2014305","2014-11-01","250m_16_days_NDVI","h10v05",2015292062248,1,5720
"A2014321","2014-11-17","250m_16_days_NDVI","h10v05",2015292071117,1,4888
"A2014337","2014-12-03","250m_16_days_NDVI","h10v05",2015294144646,1,4682
