"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2012289","2012-10-15","250m_16_days_NDVI","h09v04",2015251135454,1,1918
"A2012305","2012-10-31","250m_16_days_NDVI","h09v04",2015251163224,1,1730
"A2012321","2012-11-16","250m_16_days_NDVI","h09v04",2015252201236,1,1706
"A2012337","2012-12-02","250m_16_days_NDVI","h09v04",2015252232517,1,1850
"A2012353","2012-12-18","250m_16_days_NDVI","h09v04",2018226105801,1,-122
"A2013001","2013-01-01","250m_16_days_NDVI","h09v04",2015254154838,1,-306
"A2013017","2013-01-17","250m_16_days_NDVI","h09v04",2015254145829,1,-663
"A2013033","2013-02-02","250m_16_days_NDVI","h09v04",2015256072244,1,-302
"A2013049","2013-02-18","250m_16_days_NDVI","h09v04",2015256171148,1,-202
"A2013065","2013-03-06","250m_16_days_NDVI","h09v04",2015256180255,1,1348
"A2013081","2013-03-22","250m_16_days_NDVI","h09v04",2015257073230,1,2061
"A2013097","2013-04-07","250m_16_days_NDVI","h09v04",2015257101825,1,2250
"A2013113","2013-04-23","250m_16_days_NDVI","h09v04",2015260122208,1,2400
"A2013129","2013-05-09","250m_16_days_NDVI","h09v04",2015260164135,1,2499
"A2013145","2013-05-25","250m_16_days_NDVI","h09v04",2015261185525,1,2059
"A2013161","2013-06-10","250m_16_days_NDVI","h09v04",2015262164255,1,2117
"A2013177","2013-06-26","250m_16_days_NDVI","h09v04",2015262164159,1,1953
"A2013193","2013-07-12","250m_16_days_NDVI","h09v04",2015264061755,1,1712
"A2013209","2013-07-28","250m_16_days_NDVI","h09v04",2015267154744,1,1683
"A2013225","2013-08-13","250m_16_days_NDVI","h09v04",2015267220049,1,1690
"A2013241","2013-08-29","250m_16_days_NDVI","h09v04",2015268074832,1,1557
"A2013257","2013-09-14","250m_16_days_NDVI","h09v04",2015268075737,1,1591
"A2013273","2013-09-30","250m_16_days_NDVI","h09v04",2015269191634,1,1681
"A2013289","2013-10-16","250m_16_days_NDVI","h09v04",2015269222801,1,1796
"A2013305","2013-11-01","250m_16_days_NDVI","h09v04",2015270191921,1,2207
"A2013321","2013-11-17","250m_16_days_NDVI","h09v04",2015271103435,1,1940
"A2013337","2013-12-03","250m_16_days_NDVI","h09v04",2015271131531,1,2252
"A2013353","2013-12-19","250m_16_days_NDVI","h09v04",2018226105912,1,2294
"A2014001","2014-01-01","250m_16_days_NDVI","h09v04",2015272061604,1,1895
"A2014017","2014-01-17","250m_16_days_NDVI","h09v04",2015273232621,1,2013
"A2014033","2014-02-02","250m_16_days_NDVI","h09v04",2015274232444,1,2106
"A2014049","2014-02-18","250m_16_days_NDVI","h09v04",2015274230552,1,2250
"A2014065","2014-03-06","250m_16_days_NDVI","h09v04",2015276175535,1,2280
"A2014081","2014-03-22","250m_16_days_NDVI","h09v04",2015276220110,1,2397
"A2014097","2014-04-07","250m_16_days_NDVI","h09v04",2015278233629,1,2614
"A2014113","2014-04-23","250m_16_days_NDVI","h09v04",2015281101020,1,2630
"A2014129","2014-05-09","250m_16_days_NDVI","h09v04",2015281105229,1,2704
"A2014145","2014-05-25","250m_16_days_NDVI","h09v04",2015287234808,1,2523
"A2014161","2014-06-10","250m_16_days_NDVI","h09v04",2015288065344,1,1868
"A2014177","2014-06-26","250m_16_days_NDVI","h09v04",2015288075156,1,1876
"A2014193","2014-07-12","250m_16_days_NDVI","h09v04",2015289004336,1,1660
"A2014209","2014-07-28","250m_16_days_NDVI","h09v04",2015289032131,1,1546
"A2014225","2014-08-13","250m_16_days_NDVI","h09v04",2015289161512,1,1582
"A2014241","2014-08-29","250m_16_days_NDVI","h09v04",2015289184011,1,1549
"A2014257","2014-09-14","250m_16_days_NDVI","h09v04",2015291062623,1,1528
"A2014273","2014-09-30","250m_16_days_NDVI","h09v04",2015291112104,1,1601
"A2014289","2014-10-16","250m_16_days_NDVI","h09v04",2015291191359,1,1693
"A2014305","2014-11-01","250m_16_days_NDVI","h09v04",2015292062229,1,1803
"A2014321","2014-11-17","250m_16_days_NDVI","h09v04",2015292071404,1,217
"A2014337","2014-12-03","250m_16_days_NDVI","h09v04",2015294144315,1,2076
"A2014353","2014-12-19","250m_16_days_NDVI","h09v04",2018226110200,1,2272
"A2015001","2015-01-01","250m_16_days_NDVI","h09v04",2015295101845,1,2024
"A2015017","2015-01-17","250m_16_days_NDVI","h09v04",2015295120513,1,2113
"A2015033","2015-02-02","250m_16_days_NDVI","h09v04",2015296122817,1,2292
"A2015049","2015-02-18","250m_16_days_NDVI","h09v04",2015296153121,1,2390
"A2015065","2015-03-06","250m_16_days_NDVI","h09v04",2015298001447,1,2359
"A2015081","2015-03-22","250m_16_days_NDVI","h09v04",2015298175921,1,2610
"A2015097","2015-04-07","250m_16_days_NDVI","h09v04",2015299005206,1,2686
"A2015113","2015-04-23","250m_16_days_NDVI","h09v04",2015299023635,1,2516
"A2015129","2015-05-09","250m_16_days_NDVI","h09v04",2015299151743,1,2439
"A2015145","2015-05-25","250m_16_days_NDVI","h09v04",2015301000844,1,2423
"A2015161","2015-06-10","250m_16_days_NDVI","h09v04",2015301072547,1,2176
"A2015177","2015-06-26","250m_16_days_NDVI","h09v04",2015301215517,1,1916
"A2015193","2015-07-12","250m_16_days_NDVI","h09v04",2015304010738,1,1801
"A2015209","2015-07-28","250m_16_days_NDVI","h09v04",2015304024917,1,1866
"A2015225","2015-08-13","250m_16_days_NDVI","h09v04",2015305195651,1,1659
"A2015241","2015-08-29","250m_16_days_NDVI","h09v04",2015305211149,1,1576
"A2015257","2015-09-14","250m_16_days_NDVI","h09v04",2015306151052,1,1733
"A2015273","2015-09-30","250m_16_days_NDVI","h09v04",2015307053928,1,1518
"A2015289","2015-10-16","250m_16_days_NDVI","h09v04",2015317212248,1,1776
"A2015305","2015-11-01","250m_16_days_NDVI","h09v04",2015335131706,1,2107
"A2015321","2015-11-17","250m_16_days_NDVI","h09v04",2015343140207,1,-50
"A2015337","2015-12-03","250m_16_days_NDVI","h09v04",2016004171552,1,-74
"A2015353","2015-12-19","250m_16_days_NDVI","h09v04",2018222150640,1,-236
"A2016001","2016-01-01","250m_16_days_NDVI","h09v04",2016029064337,1,-169
"A2016017","2016-01-17","250m_16_days_NDVI","h09v04",2016035114549,1,-602
"A2016033","2016-02-02","250m_16_days_NDVI","h09v04",2016050024325,1,-226
"A2016049","2016-02-18","250m_16_days_NDVI","h09v04",2016109133529,1,1209
"A2016065","2016-03-05","250m_16_days_NDVI","h09v04",2016111112627,1,2544
"A2016081","2016-03-21","250m_16_days_NDVI","h09v04",2017097232636,1,2636
"A2016097","2016-04-06","250m_16_days_NDVI","h09v04",2016114041057,1,2549
"A2016113","2016-04-22","250m_16_days_NDVI","h09v04",2016130115054,1,2784
"A2016129","2016-05-08","250m_16_days_NDVI","h09v04",2016147113135,1,2718
"A2016145","2016-05-24","250m_16_days_NDVI","h09v04",2016166143918,1,2500
"A2016161","2016-06-09","250m_16_days_NDVI","h09v04",2016184002026,1,2343
"A2016177","2016-06-25","250m_16_days_NDVI","h09v04",2016200095657,1,2039
"A2016193","2016-07-11","250m_16_days_NDVI","h09v04",2016215085129,1,1843
"A2016209","2016-07-27","250m_16_days_NDVI","h09v04",2016229083029,1,1697
"A2016225","2016-08-12","250m_16_days_NDVI","h09v04",2016243085418,1,1637
"A2016241","2016-08-28","250m_16_days_NDVI","h09v04",2016263150432,1,1525
"A2016257","2016-09-13","250m_16_days_NDVI","h09v04",2016274143828,1,1740
"A2016273","2016-09-29","250m_16_days_NDVI","h09v04",2016292070327,1,1704
"A2016289","2016-10-15","250m_16_days_NDVI","h09v04",2016306040524,1,1930
"A2016305","2016-10-31","250m_16_days_NDVI","h09v04",2016322045203,1,1966
"A2016321","2016-11-16","250m_16_days_NDVI","h09v04",2016340093008,1,2557
"A2016337","2016-12-02","250m_16_days_NDVI","h09v04",2016357050210,1,2248
"A2016353","2016-12-18","250m_16_days_NDVI","h09v04",2017010085941,1,-13
"A2017001","2017-01-01","250m_16_days_NDVI","h09v04",2017020215711,1,-365
"A2017017","2017-01-17","250m_16_days_NDVI","h09v04",2017034073735,1,-265
"A2017033","2017-02-02","250m_16_days_NDVI","h09v04",2017053062953,1,-611
"A2017049","2017-02-18","250m_16_days_NDVI","h09v04",2017066031452,1,-149
"A2017065","2017-03-06","250m_16_days_NDVI","h09v04",2017082120612,1,2365
"A2017081","2017-03-22","250m_16_days_NDVI","h09v04",2017111085119,1,2636
"A2017097","2017-04-07","250m_16_days_NDVI","h09v04",2017116143109,1,2894
"A2017113","2017-04-23","250m_16_days_NDVI","h09v04",2017131014507,1,2974
"A2017129","2017-05-09","250m_16_days_NDVI","h09v04",2017145232139,1,2978
