"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2016177","2016-06-25","250m_16_days_NDVI","h11v05",2016200095657,1,9575
"A2016193","2016-07-11","250m_16_days_NDVI","h11v05",2016215085032,1,9035
"A2016209","2016-07-27","250m_16_days_NDVI","h11v05",2016229083034,1,9052
"A2016225","2016-08-12","250m_16_days_NDVI","h11v05",2016243085357,1,9042
"A2016241","2016-08-28","250m_16_days_NDVI","h11v05",2016263150701,1,8906
"A2016257","2016-09-13","250m_16_days_NDVI","h11v05",2016274150343,1,8931
"A2016273","2016-09-29","250m_16_days_NDVI","h11v05",2016292070332,1,8672
"A2016289","2016-10-15","250m_16_days_NDVI","h11v05",2016306035852,1,6858
"A2016305","2016-10-31","250m_16_days_NDVI","h11v05",2016322045151,1,5242
"A2016321","2016-11-16","250m_16_days_NDVI","h11v05",2016340092108,1,4898
"A2016337","2016-12-02","250m_16_days_NDVI","h11v05",2016357041037,1,4987
"A2016353","2016-12-18","250m_16_days_NDVI","h11v05",2017010085939,1,4656
"A2017001","2017-01-01","250m_16_days_NDVI","h11v05",2017020220114,1,4547
"A2017017","2017-01-17","250m_16_days_NDVI","h11v05",2017034074423,1,4000
"A2017033","2017-02-02","250m_16_days_NDVI","h11v05",2017053060909,1,4364
"A2017049","2017-02-18","250m_16_days_NDVI","h11v05",2017066032232,1,4308
"A2017065","2017-03-06","250m_16_days_NDVI","h11v05",2017082120735,1,4384
"A2017081","2017-03-22","250m_16_days_NDVI","h11v05",2017111085122,1,4358
"A2017097","2017-04-07","250m_16_days_NDVI","h11v05",2017116142208,1,4261
"A2017113","2017-04-23","250m_16_days_NDVI","h11v05",2017131014501,1,5945
"A2017129","2017-05-09","250m_16_days_NDVI","h11v05",2017145230345,1,8681
"A2017145","2017-05-25","250m_16_days_NDVI","h11v05",2017164072209,1,9206
"A2017161","2017-06-10","250m_16_days_NDVI","h11v05",2017178081309,1,9053
"A2017177","2017-06-26","250m_16_days_NDVI","h11v05",2017194070331,1,9144
"A2017193","2017-07-12","250m_16_days_NDVI","h11v05",2017209234600,1,9436
"A2017209","2017-07-28","250m_16_days_NDVI","h11v05",2017234112459,1,9242
"A2017225","2017-08-13","250m_16_days_NDVI","h11v05",2017250141703,1,9073
"A2017241","2017-08-29","250m_16_days_NDVI","h11v05",2017262085553,1,9083
"A2017257","2017-09-14","250m_16_days_NDVI","h11v05",2017276132721,1,8655
"A2017273","2017-09-30","250m_16_days_NDVI","h11v05",2017290090529,1,8709
"A2017289","2017-10-16","250m_16_days_NDVI","h11v05",2017310142924,1,8072
"A2017305","2017-11-01","250m_16_days_NDVI","h11v05",2017325113657,1,6021
"A2017321","2017-11-17","250m_16_days_NDVI","h11v05",2017337222202,1,5097
"A2017337","2017-12-03","250m_16_days_NDVI","h11v05",2017353222803,1,4859
"A2017353","2017-12-19","250m_16_days_NDVI","h11v05",2018004224903,1,4892
"A2018001","2018-01-01","250m_16_days_NDVI","h11v05",2018017224513,1,4492
"A2018017","2018-01-17","250m_16_days_NDVI","h11v05",2018033223353,1,4527
"A2018033","2018-02-02","250m_16_days_NDVI","h11v05",2018049223308,1,4239
"A2018049","2018-02-18","250m_16_days_NDVI","h11v05",2018066165607,1,4388
"A2018065","2018-03-06","250m_16_days_NDVI","h11v05",2018082151627,1,4412
"A2018081","2018-03-22","250m_16_days_NDVI","h11v05",2018097234128,1,4233
"A2018097","2018-04-07","250m_16_days_NDVI","h11v05",2018113233959,1,4248
"A2018113","2018-04-23","250m_16_days_NDVI","h11v05",2018129234653,1,4206
"A2018129","2018-05-09","250m_16_days_NDVI","h11v05",2018151110419,1,8793
"A2018145","2018-05-25","250m_16_days_NDVI","h11v05",2018162001543,1,8850
"A2018161","2018-06-10","250m_16_days_NDVI","h11v05",2018177235504,1,9191
"A2018177","2018-06-26","250m_16_days_NDVI","h11v05",2018197102829,1,9151
"A2018193","2018-07-12","250m_16_days_NDVI","h11v05",2018210001554,1,9204
"A2018209","2018-07-28","250m_16_days_NDVI","h11v05",2018227125540,1,5173
"A2018225","2018-08-13","250m_16_days_NDVI","h11v05",2018242000414,1,8965
"A2018241","2018-08-29","250m_16_days_NDVI","h11v05",2018257235305,1,8963
"A2018257","2018-09-14","250m_16_days_NDVI","h11v05",2018282125245,1,7980
"A2018273","2018-09-30","250m_16_days_NDVI","h11v05",2018295111743,1,8597
"A2018289","2018-10-16","250m_16_days_NDVI","h11v05",2018313115934,1,8064
"A2018305","2018-11-01","250m_16_days_NDVI","h11v05",2018321224857,1,5288
"A2018321","2018-11-17","250m_16_days_NDVI","h11v05",2018338084128,1,5524
"A2018337","2018-12-03","250m_16_days_NDVI","h11v05",2018365153649,1,4923
"A2018353","2018-12-19","250m_16_days_NDVI","h11v05",2019009042552,1,5093
