"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2014113","2014-04-23","250m_16_days_NDVI","h09v05",2015281100848,1,1427
"A2014129","2014-05-09","250m_16_days_NDVI","h09v05",2015281105245,1,1433
"A2014145","2014-05-25","250m_16_days_NDVI","h09v05",2015287232542,1,1441
"A2014161","2014-06-10","250m_16_days_NDVI","h09v05",2015288065353,1,1412
"A2014177","2014-06-26","250m_16_days_NDVI","h09v05",2015288071604,1,1537
"A2014193","2014-07-12","250m_16_days_NDVI","h09v05",2015289003514,1,1456
"A2014209","2014-07-28","250m_16_days_NDVI","h09v05",2015289030757,1,1541
"A2014225","2014-08-13","250m_16_days_NDVI","h09v05",2015289161303,1,1683
"A2014241","2014-08-29","250m_16_days_NDVI","h09v05",2015289184532,1,1606
"A2014257","2014-09-14","250m_16_days_NDVI","h09v05",2015291062706,1,2582
"A2014273","2014-09-30","250m_16_days_NDVI","h09v05",2015291111839,1,2080
"A2014289","2014-10-16","250m_16_days_NDVI","h09v05",2015291193633,1,2068
"A2014305","2014-11-01","250m_16_days_NDVI","h09v05",2015292062245,1,1908
"A2014321","2014-11-17","250m_16_days_NDVI","h09v05",2015292071258,1,1822
"A2014337","2014-12-03","250m_16_days_NDVI","h09v05",2015294144335,1,1837
"A2014353","2014-12-19","250m_16_days_NDVI","h09v05",2018226110128,1,1761
"A2015001","2015-01-01","250m_16_days_NDVI","h09v05",2015295101428,1,1663
"A2015017","2015-01-17","250m_16_days_NDVI","h09v05",2015295120326,1,1636
"A2015033","2015-02-02","250m_16_days_NDVI","h09v05",2015296123026,1,1557
"A2015049","2015-02-18","250m_16_days_NDVI","h09v05",2015296153752,1,1451
"A2015065","2015-03-06","250m_16_days_NDVI","h09v05",2015298001040,1,1521
"A2015081","2015-03-22","250m_16_days_NDVI","h09v05",2015298175958,1,1621
"A2015097","2015-04-07","250m_16_days_NDVI","h09v05",2015299002409,1,1520
"A2015113","2015-04-23","250m_16_days_NDVI","h09v05",2015299023631,1,1578
"A2015129","2015-05-09","250m_16_days_NDVI","h09v05",2015299151759,1,1549
"A2015145","2015-05-25","250m_16_days_NDVI","h09v05",2015300234250,1,1610
"A2015161","2015-06-10","250m_16_days_NDVI","h09v05",2015301072013,1,1631
"A2015177","2015-06-26","250m_16_days_NDVI","h09v05",2015301214831,1,1479
"A2015193","2015-07-12","250m_16_days_NDVI","h09v05",2015304013813,1,1586
"A2015209","2015-07-28","250m_16_days_NDVI","h09v05",2015304024657,1,1678
"A2015225","2015-08-13","250m_16_days_NDVI","h09v05",2015305194746,1,1646
"A2015241","2015-08-29","250m_16_days_NDVI","h09v05",2015305205504,1,1616
"A2015257","2015-09-14","250m_16_days_NDVI","h09v05",2015306150931,1,1585
"A2015273","2015-09-30","250m_16_days_NDVI","h09v05",2015307053935,1,1557
"A2015289","2015-10-16","250m_16_days_NDVI","h09v05",2015317211049,1,1506
"A2015305","2015-11-01","250m_16_days_NDVI","h09v05",2015335131711,1,1671
"A2015321","2015-11-17","250m_16_days_NDVI","h09v05",2015343140029,1,1485
"A2015337","2015-12-03","250m_16_days_NDVI","h09v05",2016004171603,1,1755
"A2015353","2015-12-19","250m_16_days_NDVI","h09v05",2018222150603,1,1591
"A2016001","2016-01-01","250m_16_days_NDVI","h09v05",2016029064349,1,1424
"A2016017","2016-01-17","250m_16_days_NDVI","h09v05",2016035114633,1,1359
"A2016033","2016-02-02","250m_16_days_NDVI","h09v05",2016050021626,1,1394
"A2016049","2016-02-18","250m_16_days_NDVI","h09v05",2016109133544,1,1300
"A2016065","2016-03-05","250m_16_days_NDVI","h09v05",2016111112539,1,1421
"A2016081","2016-03-21","250m_16_days_NDVI","h09v05",2017097232912,1,1657
"A2016097","2016-04-06","250m_16_days_NDVI","h09v05",2016114035956,1,1437
"A2016113","2016-04-22","250m_16_days_NDVI","h09v05",2016130115829,1,1458
"A2016129","2016-05-08","250m_16_days_NDVI","h09v05",2016147113226,1,1536
"A2016145","2016-05-24","250m_16_days_NDVI","h09v05",2016166143823,1,1601
"A2016161","2016-06-09","250m_16_days_NDVI","h09v05",2016183235822,1,1554
"A2016177","2016-06-25","250m_16_days_NDVI","h09v05",2016200095711,1,1450
"A2016193","2016-07-11","250m_16_days_NDVI","h09v05",2016215085502,1,1521
"A2016209","2016-07-27","250m_16_days_NDVI","h09v05",2016229083046,1,1460
"A2016225","2016-08-12","250m_16_days_NDVI","h09v05",2016243085331,1,1576
"A2016241","2016-08-28","250m_16_days_NDVI","h09v05",2016263150506,1,1520
"A2016257","2016-09-13","250m_16_days_NDVI","h09v05",2016274144313,1,1546
"A2016273","2016-09-29","250m_16_days_NDVI","h09v05",2016292070350,1,1665
"A2016289","2016-10-15","250m_16_days_NDVI","h09v05",2016306040523,1,1642
"A2016305","2016-10-31","250m_16_days_NDVI","h09v05",2016322045202,1,1624
"A2016321","2016-11-16","250m_16_days_NDVI","h09v05",2016340092120,1,1665
"A2016337","2016-12-02","250m_16_days_NDVI","h09v05",2016357045408,1,1483
"A2016353","2016-12-18","250m_16_days_NDVI","h09v05",2017010093353,1,1720
"A2017001","2017-01-01","250m_16_days_NDVI","h09v05",2017020215704,1,1440
"A2017017","2017-01-17","250m_16_days_NDVI","h09v05",2017034073725,1,1383
"A2017033","2017-02-02","250m_16_days_NDVI","h09v05",2017053061911,1,1449
"A2017049","2017-02-18","250m_16_days_NDVI","h09v05",2017066031258,1,1347
"A2017065","2017-03-06","250m_16_days_NDVI","h09v05",2017082120713,1,1556
"A2017081","2017-03-22","250m_16_days_NDVI","h09v05",2017111085131,1,1657
"A2017097","2017-04-07","250m_16_days_NDVI","h09v05",2017116141728,1,1704
"A2017113","2017-04-23","250m_16_days_NDVI","h09v05",2017131092551,1,1682
"A2017129","2017-05-09","250m_16_days_NDVI","h09v05",2017145231325,1,1554
"A2017145","2017-05-25","250m_16_days_NDVI","h09v05",2017164072222,1,1643
"A2017161","2017-06-10","250m_16_days_NDVI","h09v05",2017178081346,1,1574
"A2017177","2017-06-26","250m_16_days_NDVI","h09v05",2017194070457,1,1544
"A2017193","2017-07-12","250m_16_days_NDVI","h09v05",2017209233321,1,1611
"A2017209","2017-07-28","250m_16_days_NDVI","h09v05",2017234112219,1,2197
"A2017225","2017-08-13","250m_16_days_NDVI","h09v05",2017250141705,1,2419
"A2017241","2017-08-29","250m_16_days_NDVI","h09v05",2017262085811,1,2064
"A2017257","2017-09-14","250m_16_days_NDVI","h09v05",2017276132816,1,1981
"A2017273","2017-09-30","250m_16_days_NDVI","h09v05",2017290090344,1,1967
