"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2014065","2014-03-06","250m_16_days_NDVI","h09v05",2015276174502,1,1341
"A2014081","2014-03-22","250m_16_days_NDVI","h09v05",2015276220129,1,1383
"A2014097","2014-04-07","250m_16_days_NDVI","h09v05",2015278233714,1,1338
"A2014113","2014-04-23","250m_16_days_NDVI","h09v05",2015281100848,1,1542
"A2014129","2014-05-09","250m_16_days_NDVI","h09v05",2015281105245,1,1587
"A2014145","2014-05-25","250m_16_days_NDVI","h09v05",2015287232542,1,1629
"A2014161","2014-06-10","250m_16_days_NDVI","h09v05",2015288065353,1,1567
"A2014177","2014-06-26","250m_16_days_NDVI","h09v05",2015288071604,1,1544
"A2014193","2014-07-12","250m_16_days_NDVI","h09v05",2015289003514,1,1628
"A2014209","2014-07-28","250m_16_days_NDVI","h09v05",2015289030757,1,1731
"A2014225","2014-08-13","250m_16_days_NDVI","h09v05",2015289161303,1,1797
"A2014241","2014-08-29","250m_16_days_NDVI","h09v05",2015289184532,1,1672
"A2014257","2014-09-14","250m_16_days_NDVI","h09v05",2015291062706,1,1872
"A2014273","2014-09-30","250m_16_days_NDVI","h09v05",2015291111839,1,1840
"A2014289","2014-10-16","250m_16_days_NDVI","h09v05",2015291193633,1,1745
"A2014305","2014-11-01","250m_16_days_NDVI","h09v05",2015292062245,1,1660
"A2014321","2014-11-17","250m_16_days_NDVI","h09v05",2015292071258,1,1497
"A2014337","2014-12-03","250m_16_days_NDVI","h09v05",2015294144335,1,1377
"A2014353","2014-12-19","250m_16_days_NDVI","h09v05",2018226110128,1,1502
"A2015001","2015-01-01","250m_16_days_NDVI","h09v05",2015295101428,1,1376
"A2015017","2015-01-17","250m_16_days_NDVI","h09v05",2015295120326,1,1364
"A2015033","2015-02-02","250m_16_days_NDVI","h09v05",2015296123026,1,1273
"A2015049","2015-02-18","250m_16_days_NDVI","h09v05",2015296153752,1,1331
"A2015065","2015-03-06","250m_16_days_NDVI","h09v05",2015298001040,1,1361
"A2015081","2015-03-22","250m_16_days_NDVI","h09v05",2015298175958,1,1417
"A2015097","2015-04-07","250m_16_days_NDVI","h09v05",2015299002409,1,1640
