"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2015033","2015-02-02","250m_16_days_EVI","h08v05",2015296122840,1,948
"A2015049","2015-02-18","250m_16_days_EVI","h08v05",2015296153149,1,964
"A2015065","2015-03-06","250m_16_days_EVI","h08v05",2015298001209,1,1025
"A2015081","2015-03-22","250m_16_days_EVI","h08v05",2015298185337,1,1199
"A2015097","2015-04-07","250m_16_days_EVI","h08v05",2015299002159,1,1350
"A2015113","2015-04-23","250m_16_days_EVI","h08v05",2015299023135,1,1359
"A2015129","2015-05-09","250m_16_days_EVI","h08v05",2015299150225,1,1233
"A2015145","2015-05-25","250m_16_days_EVI","h08v05",2015300234302,1,1099
"A2015161","2015-06-10","250m_16_days_EVI","h08v05",2015301071947,1,1181
"A2015177","2015-06-26","250m_16_days_EVI","h08v05",2015301215342,1,1062
"A2015193","2015-07-12","250m_16_days_EVI","h08v05",2015304005554,1,1056
"A2015209","2015-07-28","250m_16_days_EVI","h08v05",2015304024857,1,1411
"A2015225","2015-08-13","250m_16_days_EVI","h08v05",2015305195636,1,1267
"A2015241","2015-08-29","250m_16_days_EVI","h08v05",2015305205239,1,1432
"A2015257","2015-09-14","250m_16_days_EVI","h08v05",2015306145809,1,1335
"A2015273","2015-09-30","250m_16_days_EVI","h08v05",2015307053939,1,1207
"A2015289","2015-10-16","250m_16_days_EVI","h08v05",2015317210753,1,1271
"A2015305","2015-11-01","250m_16_days_EVI","h08v05",2015335131706,1,1294
"A2015321","2015-11-17","250m_16_days_EVI","h08v05",2015343140252,1,942
"A2015337","2015-12-03","250m_16_days_EVI","h08v05",2016004171524,1,853
"A2015353","2015-12-19","250m_16_days_EVI","h08v05",2018222150453,1,1006
"A2016001","2016-01-01","250m_16_days_EVI","h08v05",2016029064356,1,868
"A2016017","2016-01-17","250m_16_days_EVI","h08v05",2016035114700,1,819
"A2016033","2016-02-02","250m_16_days_EVI","h08v05",2016050022509,1,848
"A2016049","2016-02-18","250m_16_days_EVI","h08v05",2016109133552,1,1363
"A2016065","2016-03-05","250m_16_days_EVI","h08v05",2016111112501,1,1017
"A2016081","2016-03-21","250m_16_days_EVI","h08v05",2017097232916,1,998
"A2016097","2016-04-06","250m_16_days_EVI","h08v05",2016114041452,1,948
"A2016113","2016-04-22","250m_16_days_EVI","h08v05",2016130115923,1,1007
"A2016129","2016-05-08","250m_16_days_EVI","h08v05",2016147113057,1,964
"A2016145","2016-05-24","250m_16_days_EVI","h08v05",2016166143905,1,966
"A2016161","2016-06-09","250m_16_days_EVI","h08v05",2016184011500,1,1051
"A2016177","2016-06-25","250m_16_days_EVI","h08v05",2016200095703,1,1095
"A2016193","2016-07-11","250m_16_days_EVI","h08v05",2016215085218,1,1637
"A2016209","2016-07-27","250m_16_days_EVI","h08v05",2016229083051,1,1858
"A2016225","2016-08-12","250m_16_days_EVI","h08v05",2016243085430,1,1699
"A2016241","2016-08-28","250m_16_days_EVI","h08v05",2016263150609,1,1309
"A2016257","2016-09-13","250m_16_days_EVI","h08v05",2016274143847,1,1477
"A2016273","2016-09-29","250m_16_days_EVI","h08v05",2016292070356,1,1211
"A2016289","2016-10-15","250m_16_days_EVI","h08v05",2016306035303,1,1064
"A2016305","2016-10-31","250m_16_days_EVI","h08v05",2016322044920,1,1126
"A2016321","2016-11-16","250m_16_days_EVI","h08v05",2016340093016,1,1040
"A2016337","2016-12-02","250m_16_days_EVI","h08v05",2016357043130,1,949
"A2016353","2016-12-18","250m_16_days_EVI","h08v05",2017010085942,1,786
"A2017001","2017-01-01","250m_16_days_EVI","h08v05",2017020220045,1,781
"A2017017","2017-01-17","250m_16_days_EVI","h08v05",2017034073724,1,901
"A2017033","2017-02-02","250m_16_days_EVI","h08v05",2017053061509,1,959
"A2017049","2017-02-18","250m_16_days_EVI","h08v05",2017066031819,1,941
"A2017065","2017-03-06","250m_16_days_EVI","h08v05",2017082122516,1,922
"A2017081","2017-03-22","250m_16_days_EVI","h08v05",2017111085138,1,998
"A2017097","2017-04-07","250m_16_days_EVI","h08v05",2017116142556,1,951
"A2017113","2017-04-23","250m_16_days_EVI","h08v05",2017131092548,1,1025
"A2017129","2017-05-09","250m_16_days_EVI","h08v05",2017145231504,1,988
"A2017145","2017-05-25","250m_16_days_EVI","h08v05",2017164072232,1,980
"A2017161","2017-06-10","250m_16_days_EVI","h08v05",2017178082259,1,972
"A2017177","2017-06-26","250m_16_days_EVI","h08v05",2017194070234,1,942
"A2017193","2017-07-12","250m_16_days_EVI","h08v05",2017209233541,1,1036
"A2017209","2017-07-28","250m_16_days_EVI","h08v05",2017234111929,1,2404
"A2017225","2017-08-13","250m_16_days_EVI","h08v05",2017250141813,1,2458
"A2017241","2017-08-29","250m_16_days_EVI","h08v05",2017262085631,1,1702
"A2017257","2017-09-14","250m_16_days_EVI","h08v05",2017276132803,1,1583
"A2017273","2017-09-30","250m_16_days_EVI","h08v05",2017290090558,1,1814
"A2017289","2017-10-16","250m_16_days_EVI","h08v05",2017310142445,1,1442
"A2017305","2017-11-01","250m_16_days_EVI","h08v05",2017325113636,1,1381
"A2017321","2017-11-17","250m_16_days_EVI","h08v05",2017337222143,1,1301
"A2017337","2017-12-03","250m_16_days_EVI","h08v05",2017353223230,1,1205
"A2017353","2017-12-19","250m_16_days_EVI","h08v05",2018004224454,1,1169
"A2018001","2018-01-01","250m_16_days_EVI","h08v05",2018017224915,1,1339
"A2018017","2018-01-17","250m_16_days_EVI","h08v05",2018033224010,1,1068
