"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2015033","2015-02-02","250m_16_days_NDVI","h08v05",2015296122840,1,1751
"A2015049","2015-02-18","250m_16_days_NDVI","h08v05",2015296153149,1,1665
"A2015065","2015-03-06","250m_16_days_NDVI","h08v05",2015298001209,1,1707
"A2015081","2015-03-22","250m_16_days_NDVI","h08v05",2015298185337,1,2061
"A2015097","2015-04-07","250m_16_days_NDVI","h08v05",2015299002159,1,2117
"A2015113","2015-04-23","250m_16_days_NDVI","h08v05",2015299023135,1,2130
"A2015129","2015-05-09","250m_16_days_NDVI","h08v05",2015299150225,1,1914
"A2015145","2015-05-25","250m_16_days_NDVI","h08v05",2015300234302,1,1719
"A2015161","2015-06-10","250m_16_days_NDVI","h08v05",2015301071947,1,1892
"A2015177","2015-06-26","250m_16_days_NDVI","h08v05",2015301215342,1,1937
"A2015193","2015-07-12","250m_16_days_NDVI","h08v05",2015304005554,1,1762
"A2015209","2015-07-28","250m_16_days_NDVI","h08v05",2015304024857,1,2349
"A2015225","2015-08-13","250m_16_days_NDVI","h08v05",2015305195636,1,2193
"A2015241","2015-08-29","250m_16_days_NDVI","h08v05",2015305205239,1,2423
"A2015257","2015-09-14","250m_16_days_NDVI","h08v05",2015306145809,1,2308
"A2015273","2015-09-30","250m_16_days_NDVI","h08v05",2015307053939,1,2276
"A2015289","2015-10-16","250m_16_days_NDVI","h08v05",2015317210753,1,2234
"A2015305","2015-11-01","250m_16_days_NDVI","h08v05",2015335131706,1,2262
"A2015321","2015-11-17","250m_16_days_NDVI","h08v05",2015343140252,1,1779
"A2015337","2015-12-03","250m_16_days_NDVI","h08v05",2016004171524,1,1734
"A2015353","2015-12-19","250m_16_days_NDVI","h08v05",2018222150453,1,1780
"A2016001","2016-01-01","250m_16_days_NDVI","h08v05",2016029064356,1,1722
"A2016017","2016-01-17","250m_16_days_NDVI","h08v05",2016035114700,1,1564
"A2016033","2016-02-02","250m_16_days_NDVI","h08v05",2016050022509,1,1557
"A2016049","2016-02-18","250m_16_days_NDVI","h08v05",2016109133552,1,1951
"A2016065","2016-03-05","250m_16_days_NDVI","h08v05",2016111112501,1,1680
"A2016081","2016-03-21","250m_16_days_NDVI","h08v05",2017097232916,1,1607
"A2016097","2016-04-06","250m_16_days_NDVI","h08v05",2016114041452,1,1696
"A2016113","2016-04-22","250m_16_days_NDVI","h08v05",2016130115923,1,1495
"A2016129","2016-05-08","250m_16_days_NDVI","h08v05",2016147113057,1,1521
"A2016145","2016-05-24","250m_16_days_NDVI","h08v05",2016166143905,1,1397
"A2016161","2016-06-09","250m_16_days_NDVI","h08v05",2016184011500,1,1508
"A2016177","2016-06-25","250m_16_days_NDVI","h08v05",2016200095703,1,1821
"A2016193","2016-07-11","250m_16_days_NDVI","h08v05",2016215085218,1,2522
"A2016209","2016-07-27","250m_16_days_NDVI","h08v05",2016229083051,1,2780
"A2016225","2016-08-12","250m_16_days_NDVI","h08v05",2016243085430,1,2618
"A2016241","2016-08-28","250m_16_days_NDVI","h08v05",2016263150609,1,2424
"A2016257","2016-09-13","250m_16_days_NDVI","h08v05",2016274143847,1,2407
"A2016273","2016-09-29","250m_16_days_NDVI","h08v05",2016292070356,1,2189
"A2016289","2016-10-15","250m_16_days_NDVI","h08v05",2016306035303,1,1937
"A2016305","2016-10-31","250m_16_days_NDVI","h08v05",2016322044920,1,2058
"A2016321","2016-11-16","250m_16_days_NDVI","h08v05",2016340093016,1,1964
"A2016337","2016-12-02","250m_16_days_NDVI","h08v05",2016357043130,1,1767
"A2016353","2016-12-18","250m_16_days_NDVI","h08v05",2017010085942,1,1685
"A2017001","2017-01-01","250m_16_days_NDVI","h08v05",2017020220045,1,1553
"A2017017","2017-01-17","250m_16_days_NDVI","h08v05",2017034073724,1,1652
"A2017033","2017-02-02","250m_16_days_NDVI","h08v05",2017053061509,1,1715
"A2017049","2017-02-18","250m_16_days_NDVI","h08v05",2017066031819,1,1703
"A2017065","2017-03-06","250m_16_days_NDVI","h08v05",2017082122516,1,1570
"A2017081","2017-03-22","250m_16_days_NDVI","h08v05",2017111085138,1,1607
"A2017097","2017-04-07","250m_16_days_NDVI","h08v05",2017116142556,1,1505
"A2017113","2017-04-23","250m_16_days_NDVI","h08v05",2017131092548,1,1469
"A2017129","2017-05-09","250m_16_days_NDVI","h08v05",2017145231504,1,1473
"A2017145","2017-05-25","250m_16_days_NDVI","h08v05",2017164072232,1,1601
"A2017161","2017-06-10","250m_16_days_NDVI","h08v05",2017178082259,1,1562
"A2017177","2017-06-26","250m_16_days_NDVI","h08v05",2017194070234,1,1537
"A2017193","2017-07-12","250m_16_days_NDVI","h08v05",2017209233541,1,2028
"A2017209","2017-07-28","250m_16_days_NDVI","h08v05",2017234111929,1,3521
"A2017225","2017-08-13","250m_16_days_NDVI","h08v05",2017250141813,1,3880
"A2017241","2017-08-29","250m_16_days_NDVI","h08v05",2017262085631,1,2661
"A2017257","2017-09-14","250m_16_days_NDVI","h08v05",2017276132803,1,2589
"A2017273","2017-09-30","250m_16_days_NDVI","h08v05",2017290090558,1,2959
"A2017289","2017-10-16","250m_16_days_NDVI","h08v05",2017310142445,1,2526
"A2017305","2017-11-01","250m_16_days_NDVI","h08v05",2017325113636,1,2339
"A2017321","2017-11-17","250m_16_days_NDVI","h08v05",2017337222143,1,2110
"A2017337","2017-12-03","250m_16_days_NDVI","h08v05",2017353223230,1,2228
"A2017353","2017-12-19","250m_16_days_NDVI","h08v05",2018004224454,1,1950
"A2018001","2018-01-01","250m_16_days_NDVI","h08v05",2018017224915,1,2182
"A2018017","2018-01-17","250m_16_days_NDVI","h08v05",2018033224010,1,1822
"A2018033","2018-02-02","250m_16_days_NDVI","h08v05",2018049222926,1,1872
"A2018049","2018-02-18","250m_16_days_NDVI","h08v05",2018066165202,1,1577
"A2018065","2018-03-06","250m_16_days_NDVI","h08v05",2018082151701,1,1738
"A2018081","2018-03-22","250m_16_days_NDVI","h08v05",2018097233925,1,1712
"A2018097","2018-04-07","250m_16_days_NDVI","h08v05",2018113234007,1,1837
"A2018113","2018-04-23","250m_16_days_NDVI","h08v05",2018129235116,1,1701
"A2018129","2018-05-09","250m_16_days_NDVI","h08v05",2018151110134,1,1706
"A2018145","2018-05-25","250m_16_days_NDVI","h08v05",2018162000452,1,1687
"A2018161","2018-06-10","250m_16_days_NDVI","h08v05",2018177235938,1,1709
"A2018177","2018-06-26","250m_16_days_NDVI","h08v05",2018197102822,1,1758
"A2018193","2018-07-12","250m_16_days_NDVI","h08v05",2018210001605,1,2320
"A2018209","2018-07-28","250m_16_days_NDVI","h08v05",2018227125622,1,2264
"A2018225","2018-08-13","250m_16_days_NDVI","h08v05",2018242000006,1,2436
"A2018241","2018-08-29","250m_16_days_NDVI","h08v05",2018258000444,1,2450
"A2018257","2018-09-14","250m_16_days_NDVI","h08v05",2018282125616,1,1988
"A2018273","2018-09-30","250m_16_days_NDVI","h08v05",2018295105634,1,2147
"A2018289","2018-10-16","250m_16_days_NDVI","h08v05",2018313115921,1,2359
"A2018305","2018-11-01","250m_16_days_NDVI","h08v05",2018321225857,1,2274
"A2018321","2018-11-17","250m_16_days_NDVI","h08v05",2018338084403,1,2240
"A2018337","2018-12-03","250m_16_days_NDVI","h08v05",2018365153713,1,2041
"A2018353","2018-12-19","250m_16_days_NDVI","h08v05",2019009042809,1,1855
