"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2014177","2014-06-26","250m_16_days_NDVI","h11v04",2015288071425,1,9005
"A2014193","2014-07-12","250m_16_days_NDVI","h11v04",2015289002823,1,8832
"A2014209","2014-07-28","250m_16_days_NDVI","h11v04",2015289031737,1,8877
"A2014225","2014-08-13","250m_16_days_NDVI","h11v04",2015289161029,1,8995
"A2014241","2014-08-29","250m_16_days_NDVI","h11v04",2015289182939,1,8578
"A2014257","2014-09-14","250m_16_days_NDVI","h11v04",2015291062734,1,8246
"A2014273","2014-09-30","250m_16_days_NDVI","h11v04",2015291111950,1,5988
"A2014289","2014-10-16","250m_16_days_NDVI","h11v04",2015291191524,1,4997
"A2014305","2014-11-01","250m_16_days_NDVI","h11v04",2015292062245,1,4720
"A2014321","2014-11-17","250m_16_days_NDVI","h11v04",2015292071545,1,2861
"A2014337","2014-12-03","250m_16_days_NDVI","h11v04",2015294144755,1,5749
"A2014353","2014-12-19","250m_16_days_NDVI","h11v04",2018226110138,1,3195
"A2015001","2015-01-01","250m_16_days_NDVI","h11v04",2015295100909,1,2576
"A2015017","2015-01-17","250m_16_days_NDVI","h11v04",2015295120431,1,1571
"A2015033","2015-02-02","250m_16_days_NDVI","h11v04",2015296122948,1,1922
"A2015049","2015-02-18","250m_16_days_NDVI","h11v04",2015296153210,1,1845
"A2015065","2015-03-06","250m_16_days_NDVI","h11v04",2015298001549,1,1189
"A2015081","2015-03-22","250m_16_days_NDVI","h11v04",2015298190830,1,4356
"A2015097","2015-04-07","250m_16_days_NDVI","h11v04",2015299010156,1,4808
"A2015113","2015-04-23","250m_16_days_NDVI","h11v04",2015299023700,1,4147
"A2015129","2015-05-09","250m_16_days_NDVI","h11v04",2015299151955,1,7519
"A2015145","2015-05-25","250m_16_days_NDVI","h11v04",2015300234328,1,8622
"A2015161","2015-06-10","250m_16_days_NDVI","h11v04",2015301072608,1,9025
"A2015177","2015-06-26","250m_16_days_NDVI","h11v04",2015301215531,1,8899
"A2015193","2015-07-12","250m_16_days_NDVI","h11v04",2015304005512,1,8796
"A2015209","2015-07-28","250m_16_days_NDVI","h11v04",2015304024703,1,8450
"A2015225","2015-08-13","250m_16_days_NDVI","h11v04",2015305194221,1,8860
"A2015241","2015-08-29","250m_16_days_NDVI","h11v04",2015305210814,1,8415
"A2015257","2015-09-14","250m_16_days_NDVI","h11v04",2015306150806,1,8252
"A2015273","2015-09-30","250m_16_days_NDVI","h11v04",2015307054834,1,6053
"A2015289","2015-10-16","250m_16_days_NDVI","h11v04",2015317212026,1,4835
"A2015305","2015-11-01","250m_16_days_NDVI","h11v04",2015335131706,1,5135
"A2015321","2015-11-17","250m_16_days_NDVI","h11v04",2015343140123,1,4025
"A2015337","2015-12-03","250m_16_days_NDVI","h11v04",2016004171645,1,3494
"A2015353","2015-12-19","250m_16_days_NDVI","h11v04",2018222150607,1,2342
"A2016001","2016-01-01","250m_16_days_NDVI","h11v04",2016029064312,1,1875
"A2016017","2016-01-17","250m_16_days_NDVI","h11v04",2016035114857,1,1488
"A2016033","2016-02-02","250m_16_days_NDVI","h11v04",2016050030454,1,1826
"A2016049","2016-02-18","250m_16_days_NDVI","h11v04",2016109133552,1,1256
"A2016065","2016-03-05","250m_16_days_NDVI","h11v04",2016111112523,1,1532
"A2016081","2016-03-21","250m_16_days_NDVI","h11v04",2017097233246,1,5002
"A2016097","2016-04-06","250m_16_days_NDVI","h11v04",2016114042609,1,4441
"A2016113","2016-04-22","250m_16_days_NDVI","h11v04",2016130115828,1,4765
"A2016129","2016-05-08","250m_16_days_NDVI","h11v04",2016147113046,1,7511
"A2016145","2016-05-24","250m_16_days_NDVI","h11v04",2016166150108,1,8772
"A2016161","2016-06-09","250m_16_days_NDVI","h11v04",2016184000518,1,8799
"A2016177","2016-06-25","250m_16_days_NDVI","h11v04",2016200095826,1,8791
"A2016193","2016-07-11","250m_16_days_NDVI","h11v04",2016215085231,1,8929
"A2016209","2016-07-27","250m_16_days_NDVI","h11v04",2016229083157,1,9001
"A2016225","2016-08-12","250m_16_days_NDVI","h11v04",2016243085447,1,8596
"A2016241","2016-08-28","250m_16_days_NDVI","h11v04",2016263150714,1,8574
"A2016257","2016-09-13","250m_16_days_NDVI","h11v04",2016274150354,1,8352
"A2016273","2016-09-29","250m_16_days_NDVI","h11v04",2016292070846,1,6036
"A2016289","2016-10-15","250m_16_days_NDVI","h11v04",2016306035303,1,4786
"A2016305","2016-10-31","250m_16_days_NDVI","h11v04",2016322045202,1,6030
"A2016321","2016-11-16","250m_16_days_NDVI","h11v04",2016340093021,1,914
"A2016337","2016-12-02","250m_16_days_NDVI","h11v04",2016357040924,1,1417
"A2016353","2016-12-18","250m_16_days_NDVI","h11v04",2017010085953,1,1124
"A2017001","2017-01-01","250m_16_days_NDVI","h11v04",2017020220142,1,1667
"A2017017","2017-01-17","250m_16_days_NDVI","h11v04",2017034073412,1,1889
"A2017033","2017-02-02","250m_16_days_NDVI","h11v04",2017053061232,1,1366
