"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2008257","2008-09-13","250m_16_days_NDVI","h11v05",2015179220414,1,8913
"A2008273","2008-09-29","250m_16_days_NDVI","h11v05",2015180221741,1,8541
"A2008289","2008-10-15","250m_16_days_NDVI","h11v05",2015180222436,1,7728
"A2008305","2008-10-31","250m_16_days_NDVI","h11v05",2015181144506,1,4634
"A2008321","2008-11-16","250m_16_days_NDVI","h11v05",2015181150048,1,4818
"A2008337","2008-12-02","250m_16_days_NDVI","h11v05",2015184002947,1,4325
"A2008353","2008-12-18","250m_16_days_NDVI","h11v05",2018226094754,1,4615
"A2009001","2009-01-01","250m_16_days_NDVI","h11v05",2015186055914,1,3652
"A2009017","2009-01-17","250m_16_days_NDVI","h11v05",2015186062539,1,3687
"A2009033","2009-02-02","250m_16_days_NDVI","h11v05",2015187064320,1,4205
"A2009049","2009-02-18","250m_16_days_NDVI","h11v05",2015187064442,1,3943
"A2009065","2009-03-06","250m_16_days_NDVI","h11v05",2015188090624,1,3942
"A2009081","2009-03-22","250m_16_days_NDVI","h11v05",2015188085725,1,4041
"A2009097","2009-04-07","250m_16_days_NDVI","h11v05",2015189152653,1,3819
"A2009113","2009-04-23","250m_16_days_NDVI","h11v05",2015189135652,1,4738
"A2009129","2009-05-09","250m_16_days_NDVI","h11v05",2015189212013,1,8612
"A2009145","2009-05-25","250m_16_days_NDVI","h11v05",2015190121822,1,9095
"A2009161","2009-06-10","250m_16_days_NDVI","h11v05",2015190221847,1,9146
"A2009177","2009-06-26","250m_16_days_NDVI","h11v05",2015191092741,1,9250
"A2009193","2009-07-12","250m_16_days_NDVI","h11v05",2015192140937,1,9291
"A2009209","2009-07-28","250m_16_days_NDVI","h11v05",2015192140932,1,9011
"A2009225","2009-08-13","250m_16_days_NDVI","h11v05",2015194144336,1,9159
"A2009241","2009-08-29","250m_16_days_NDVI","h11v05",2015194151109,1,9168
"A2009257","2009-09-14","250m_16_days_NDVI","h11v05",2015194225042,1,8866
"A2009273","2009-09-30","250m_16_days_NDVI","h11v05",2015195130252,1,8583
"A2009289","2009-10-16","250m_16_days_NDVI","h11v05",2015195225158,1,7183
"A2009305","2009-11-01","250m_16_days_NDVI","h11v05",2015196133741,1,4524
"A2009321","2009-11-17","250m_16_days_NDVI","h11v05",2015196202302,1,4506
"A2009337","2009-12-03","250m_16_days_NDVI","h11v05",2015197071205,1,4332
"A2009353","2009-12-19","250m_16_days_NDVI","h11v05",2018226094257,1,3794
"A2010001","2010-01-01","250m_16_days_NDVI","h11v05",2015198104315,1,3794
"A2010017","2010-01-17","250m_16_days_NDVI","h11v05",2015198194522,1,2996
"A2010033","2010-02-02","250m_16_days_NDVI","h11v05",2015199115328,1,922
"A2010049","2010-02-18","250m_16_days_NDVI","h11v05",2015200022706,1,3344
"A2010065","2010-03-06","250m_16_days_NDVI","h11v05",2015206075333,1,3997
"A2010081","2010-03-22","250m_16_days_NDVI","h11v05",2015206081411,1,3963
"A2010097","2010-04-07","250m_16_days_NDVI","h11v05",2015206224913,1,6169
"A2010113","2010-04-23","250m_16_days_NDVI","h11v05",2015207160333,1,9047
"A2010129","2010-05-09","250m_16_days_NDVI","h11v05",2015207185533,1,9062
"A2010145","2010-05-25","250m_16_days_NDVI","h11v05",2015208143037,1,9159
"A2010161","2010-06-10","250m_16_days_NDVI","h11v05",2015208190753,1,9205
"A2010177","2010-06-26","250m_16_days_NDVI","h11v05",2015208201944,1,9194
"A2010193","2010-07-12","250m_16_days_NDVI","h11v05",2015209100329,1,8963
"A2010209","2010-07-28","250m_16_days_NDVI","h11v05",2015209150444,1,8878
"A2010225","2010-08-13","250m_16_days_NDVI","h11v05",2015210090925,1,8983
"A2010241","2010-08-29","250m_16_days_NDVI","h11v05",2015210102323,1,8716
"A2010257","2010-09-14","250m_16_days_NDVI","h11v05",2015211022515,1,8466
"A2010273","2010-09-30","250m_16_days_NDVI","h11v05",2015211141303,1,7798
"A2010289","2010-10-16","250m_16_days_NDVI","h11v05",2015211225716,1,4841
"A2010305","2010-11-01","250m_16_days_NDVI","h11v05",2015213071528,1,4629
"A2010321","2010-11-17","250m_16_days_NDVI","h11v05",2015213091603,1,4728
"A2010337","2010-12-03","250m_16_days_NDVI","h11v05",2015213174423,1,3819
"A2010353","2010-12-19","250m_16_days_NDVI","h11v05",2018226093631,1,4334
"A2011001","2011-01-01","250m_16_days_NDVI","h11v05",2015216115410,1,4334
"A2011017","2011-01-17","250m_16_days_NDVI","h11v05",2015216145933,1,3295
"A2011033","2011-02-02","250m_16_days_NDVI","h11v05",2015216131040,1,1235
"A2011049","2011-02-18","250m_16_days_NDVI","h11v05",2015216132649,1,4090
"A2011065","2011-03-06","250m_16_days_NDVI","h11v05",2015217063850,1,3896
"A2011081","2011-03-22","250m_16_days_NDVI","h11v05",2015217155440,1,3948
"A2011097","2011-04-07","250m_16_days_NDVI","h11v05",2015218085815,1,4961
"A2011113","2011-04-23","250m_16_days_NDVI","h11v05",2015218101251,1,7327
"A2011129","2011-05-09","250m_16_days_NDVI","h11v05",2015219102117,1,8481
"A2011145","2011-05-25","250m_16_days_NDVI","h11v05",2015219140924,1,9152
"A2011161","2011-06-10","250m_16_days_NDVI","h11v05",2015219192234,1,9270
"A2011177","2011-06-26","250m_16_days_NDVI","h11v05",2015220084016,1,9112
"A2011193","2011-07-12","250m_16_days_NDVI","h11v05",2015220140539,1,9249
"A2011209","2011-07-28","250m_16_days_NDVI","h11v05",2015221075556,1,9143
"A2011225","2011-08-13","250m_16_days_NDVI","h11v05",2015221114011,1,9125
"A2011241","2011-08-29","250m_16_days_NDVI","h11v05",2015221205945,1,9000
"A2011257","2011-09-14","250m_16_days_NDVI","h11v05",2015222091828,1,8494
"A2011273","2011-09-30","250m_16_days_NDVI","h11v05",2015222121552,1,6638
"A2011289","2011-10-16","250m_16_days_NDVI","h11v05",2015223133107,1,5391
"A2011305","2011-11-01","250m_16_days_NDVI","h11v05",2015229102723,1,4555
"A2011321","2011-11-17","250m_16_days_NDVI","h11v05",2015229120437,1,4441
"A2011337","2011-12-03","250m_16_days_NDVI","h11v05",2015229234109,1,4375
"A2011353","2011-12-19","250m_16_days_NDVI","h11v05",2018226092814,1,4273
"A2012001","2012-01-01","250m_16_days_NDVI","h11v05",2015236171406,1,4318
"A2012017","2012-01-17","250m_16_days_NDVI","h11v05",2015237084901,1,4123
"A2012033","2012-02-02","250m_16_days_NDVI","h11v05",2015237195436,1,4177
"A2012049","2012-02-18","250m_16_days_NDVI","h11v05",2015238132312,1,3933
"A2012065","2012-03-05","250m_16_days_NDVI","h11v05",2015238152017,1,4030
"A2012081","2012-03-21","250m_16_days_NDVI","h11v05",2015239232253,1,5382
"A2012097","2012-04-06","250m_16_days_NDVI","h11v05",2015240114547,1,6805
"A2012113","2012-04-22","250m_16_days_NDVI","h11v05",2015240190447,1,8723
"A2012129","2012-05-08","250m_16_days_NDVI","h11v05",2015246095514,1,8963
"A2012145","2012-05-24","250m_16_days_NDVI","h11v05",2015246095931,1,8998
"A2012161","2012-06-09","250m_16_days_NDVI","h11v05",2015247052354,1,9076
"A2012177","2012-06-25","250m_16_days_NDVI","h11v05",2015247083052,1,9039
"A2012193","2012-07-11","250m_16_days_NDVI","h11v05",2015247171137,1,8841
"A2012209","2012-07-27","250m_16_days_NDVI","h11v05",2015248102758,1,8967
"A2012225","2012-08-12","250m_16_days_NDVI","h11v05",2015248124354,1,8856
"A2012241","2012-08-28","250m_16_days_NDVI","h11v05",2015249115508,1,8900
"A2012257","2012-09-13","250m_16_days_NDVI","h11v05",2015249155028,1,8981
"A2012273","2012-09-29","250m_16_days_NDVI","h11v05",2015249220114,1,7918
"A2012289","2012-10-15","250m_16_days_NDVI","h11v05",2015251140135,1,4475
"A2012305","2012-10-31","250m_16_days_NDVI","h11v05",2015251162305,1,4417
"A2012321","2012-11-16","250m_16_days_NDVI","h11v05",2015252201100,1,4522
"A2012337","2012-12-02","250m_16_days_NDVI","h11v05",2015252230738,1,4759
"A2012353","2012-12-18","250m_16_days_NDVI","h11v05",2018226105707,1,2588
"A2013001","2013-01-01","250m_16_days_NDVI","h11v05",2015254155028,1,3243
"A2013017","2013-01-17","250m_16_days_NDVI","h11v05",2015254145730,1,4115
"A2013033","2013-02-02","250m_16_days_NDVI","h11v05",2015256070610,1,4044
"A2013049","2013-02-18","250m_16_days_NDVI","h11v05",2015256172644,1,4019
"A2013065","2013-03-06","250m_16_days_NDVI","h11v05",2015256175404,1,4092
"A2013081","2013-03-22","250m_16_days_NDVI","h11v05",2015257073401,1,3805
"A2013097","2013-04-07","250m_16_days_NDVI","h11v05",2015257101842,1,3998
"A2013113","2013-04-23","250m_16_days_NDVI","h11v05",2015260121118,1,6792
"A2013129","2013-05-09","250m_16_days_NDVI","h11v05",2015260163344,1,8772
"A2013145","2013-05-25","250m_16_days_NDVI","h11v05",2015261183537,1,7922
"A2013161","2013-06-10","250m_16_days_NDVI","h11v05",2015262164928,1,9121
"A2013177","2013-06-26","250m_16_days_NDVI","h11v05",2015262165154,1,9670
"A2013193","2013-07-12","250m_16_days_NDVI","h11v05",2015264061831,1,9124
"A2013209","2013-07-28","250m_16_days_NDVI","h11v05",2015267155654,1,9429
"A2013225","2013-08-13","250m_16_days_NDVI","h11v05",2015267214353,1,9111
"A2013241","2013-08-29","250m_16_days_NDVI","h11v05",2015268074428,1,9066
"A2013257","2013-09-14","250m_16_days_NDVI","h11v05",2015268075213,1,8861
"A2013273","2013-09-30","250m_16_days_NDVI","h11v05",2015269192033,1,8506
"A2013289","2013-10-16","250m_16_days_NDVI","h11v05",2015269222830,1,7293
"A2013305","2013-11-01","250m_16_days_NDVI","h11v05",2015270190100,1,4468
"A2013321","2013-11-17","250m_16_days_NDVI","h11v05",2015271103803,1,4640
"A2013337","2013-12-03","250m_16_days_NDVI","h11v05",2015271135015,1,3324
"A2013353","2013-12-19","250m_16_days_NDVI","h11v05",2018226105933,1,4567
"A2014001","2014-01-01","250m_16_days_NDVI","h11v05",2015272062055,1,4389
"A2014017","2014-01-17","250m_16_days_NDVI","h11v05",2015273232553,1,2872
"A2014033","2014-02-02","250m_16_days_NDVI","h11v05",2015274230740,1,851
"A2014049","2014-02-18","250m_16_days_NDVI","h11v05",2015274230846,1,4217
"A2014065","2014-03-06","250m_16_days_NDVI","h11v05",2015276175532,1,3834
"A2014081","2014-03-22","250m_16_days_NDVI","h11v05",2015276220912,1,3814
"A2014097","2014-04-07","250m_16_days_NDVI","h11v05",2015278233546,1,4036
"A2014113","2014-04-23","250m_16_days_NDVI","h11v05",2015281100834,1,4682
"A2014129","2014-05-09","250m_16_days_NDVI","h11v05",2015281105400,1,8914
"A2014145","2014-05-25","250m_16_days_NDVI","h11v05",2015287232333,1,9082
"A2014161","2014-06-10","250m_16_days_NDVI","h11v05",2015288071310,1,9099
"A2014177","2014-06-26","250m_16_days_NDVI","h11v05",2015288071358,1,9275
"A2014193","2014-07-12","250m_16_days_NDVI","h11v05",2015289002606,1,9050
"A2014209","2014-07-28","250m_16_days_NDVI","h11v05",2015289031234,1,9218
"A2014225","2014-08-13","250m_16_days_NDVI","h11v05",2015289155929,1,9037
"A2014241","2014-08-29","250m_16_days_NDVI","h11v05",2015289182902,1,9115
"A2014257","2014-09-14","250m_16_days_NDVI","h11v05",2015291064223,1,8661
"A2014273","2014-09-30","250m_16_days_NDVI","h11v05",2015291111510,1,8415
"A2014289","2014-10-16","250m_16_days_NDVI","h11v05",2015291191732,1,6332
"A2014305","2014-11-01","250m_16_days_NDVI","h11v05",2015292062744,1,4949
"A2014321","2014-11-17","250m_16_days_NDVI","h11v05",2015292071746,1,4335
"A2014337","2014-12-03","250m_16_days_NDVI","h11v05",2015294144637,1,4975
"A2014353","2014-12-19","250m_16_days_NDVI","h11v05",2018226110121,1,4714
"A2015001","2015-01-01","250m_16_days_NDVI","h11v05",2015295100749,1,4297
"A2015017","2015-01-17","250m_16_days_NDVI","h11v05",2015295120407,1,4370
"A2015033","2015-02-02","250m_16_days_NDVI","h11v05",2015296122929,1,4123
"A2015049","2015-02-18","250m_16_days_NDVI","h11v05",2015296153058,1,985
"A2015065","2015-03-06","250m_16_days_NDVI","h11v05",2015298001611,1,3654
"A2015081","2015-03-22","250m_16_days_NDVI","h11v05",2015298190814,1,3739
"A2015097","2015-04-07","250m_16_days_NDVI","h11v05",2015299004059,1,4192
"A2015113","2015-04-23","250m_16_days_NDVI","h11v05",2015299023643,1,5917
"A2015129","2015-05-09","250m_16_days_NDVI","h11v05",2015299150630,1,9089
"A2015145","2015-05-25","250m_16_days_NDVI","h11v05",2015300234217,1,9061
"A2015161","2015-06-10","250m_16_days_NDVI","h11v05",2015301072544,1,9416
"A2015177","2015-06-26","250m_16_days_NDVI","h11v05",2015301214901,1,9562
"A2015193","2015-07-12","250m_16_days_NDVI","h11v05",2015304010521,1,9278
"A2015209","2015-07-28","250m_16_days_NDVI","h11v05",2015304024651,1,9279
"A2015225","2015-08-13","250m_16_days_NDVI","h11v05",2015305194029,1,9070
"A2015241","2015-08-29","250m_16_days_NDVI","h11v05",2015305205157,1,9171
"A2015257","2015-09-14","250m_16_days_NDVI","h11v05",2015306150751,1,8808
"A2015273","2015-09-30","250m_16_days_NDVI","h11v05",2015307054812,1,8646
"A2015289","2015-10-16","250m_16_days_NDVI","h11v05",2015317212007,1,5591
"A2015305","2015-11-01","250m_16_days_NDVI","h11v05",2015335131659,1,4882
"A2015321","2015-11-17","250m_16_days_NDVI","h11v05",2015343135258,1,4348
"A2015337","2015-12-03","250m_16_days_NDVI","h11v05",2016004171651,1,-3000
"A2015353","2015-12-19","250m_16_days_NDVI","h11v05",2018222150610,1,4527
"A2016001","2016-01-01","250m_16_days_NDVI","h11v05",2016029064308,1,4527
"A2016017","2016-01-17","250m_16_days_NDVI","h11v05",2016035114834,1,4156
"A2016033","2016-02-02","250m_16_days_NDVI","h11v05",2016050023434,1,4283
"A2016049","2016-02-18","250m_16_days_NDVI","h11v05",2016109133534,1,4219
"A2016065","2016-03-05","250m_16_days_NDVI","h11v05",2016111112403,1,4173
"A2016081","2016-03-21","250m_16_days_NDVI","h11v05",2017097233451,1,4099
"A2016097","2016-04-06","250m_16_days_NDVI","h11v05",2016114040325,1,4204
