"modis_date","calendar_date","band","tile","proc_date","pixel","data"
"A2012129","2012-05-08","250m_16_days_NDVI","h11v04",2015246095524,1,8224
"A2012145","2012-05-24","250m_16_days_NDVI","h11v04",2015246100005,1,9035
"A2012161","2012-06-09","250m_16_days_NDVI","h11v04",2015247055846,1,9141
"A2012177","2012-06-25","250m_16_days_NDVI","h11v04",2015247082032,1,9109
"A2012193","2012-07-11","250m_16_days_NDVI","h11v04",2015247171102,1,9033
"A2012209","2012-07-27","250m_16_days_NDVI","h11v04",2015248101816,1,8979
"A2012225","2012-08-12","250m_16_days_NDVI","h11v04",2015248125610,1,8747
"A2012241","2012-08-28","250m_16_days_NDVI","h11v04",2015249123850,1,8418
"A2012257","2012-09-13","250m_16_days_NDVI","h11v04",2015249155008,1,8314
"A2012273","2012-09-29","250m_16_days_NDVI","h11v04",2015249215657,1,4963
"A2012289","2012-10-15","250m_16_days_NDVI","h11v04",2015251140348,1,4186
"A2012305","2012-10-31","250m_16_days_NDVI","h11v04",2015251162011,1,4296
"A2012321","2012-11-16","250m_16_days_NDVI","h11v04",2015252201011,1,4126
"A2012337","2012-12-02","250m_16_days_NDVI","h11v04",2015252232426,1,4992
"A2012353","2012-12-18","250m_16_days_NDVI","h11v04",2018226105832,1,5347
"A2013001","2013-01-01","250m_16_days_NDVI","h11v04",2015254154419,1,4819
"A2013017","2013-01-17","250m_16_days_NDVI","h11v04",2015254145544,1,2303
"A2013033","2013-02-02","250m_16_days_NDVI","h11v04",2015256070622,1,2447
"A2013049","2013-02-18","250m_16_days_NDVI","h11v04",2015256172529,1,482
"A2013065","2013-03-06","250m_16_days_NDVI","h11v04",2015256175512,1,621
"A2013081","2013-03-22","250m_16_days_NDVI","h11v04",2015257073430,1,362
"A2013097","2013-04-07","250m_16_days_NDVI","h11v04",2015257101741,1,879
"A2013113","2013-04-23","250m_16_days_NDVI","h11v04",2015260121118,1,2086
"A2013129","2013-05-09","250m_16_days_NDVI","h11v04",2015260162721,1,4023
"A2013145","2013-05-25","250m_16_days_NDVI","h11v04",2015261183557,1,8509
"A2013161","2013-06-10","250m_16_days_NDVI","h11v04",2015262161536,1,8922
"A2013177","2013-06-26","250m_16_days_NDVI","h11v04",2015262170109,1,9187
"A2013193","2013-07-12","250m_16_days_NDVI","h11v04",2015264061412,1,9023
"A2013209","2013-07-28","250m_16_days_NDVI","h11v04",2015267154840,1,4225
"A2013225","2013-08-13","250m_16_days_NDVI","h11v04",2015267214357,1,8980
"A2013241","2013-08-29","250m_16_days_NDVI","h11v04",2015268074439,1,8703
"A2013257","2013-09-14","250m_16_days_NDVI","h11v04",2015268075800,1,7543
"A2013273","2013-09-30","250m_16_days_NDVI","h11v04",2015269192046,1,4580
"A2013289","2013-10-16","250m_16_days_NDVI","h11v04",2015269222833,1,4871
"A2013305","2013-11-01","250m_16_days_NDVI","h11v04",2015270191924,1,3920
"A2013321","2013-11-17","250m_16_days_NDVI","h11v04",2015271104054,1,3931
"A2013337","2013-12-03","250m_16_days_NDVI","h11v04",2015271135036,1,1113
"A2013353","2013-12-19","250m_16_days_NDVI","h11v04",2018226105954,1,567
"A2014001","2014-01-01","250m_16_days_NDVI","h11v04",2015272062355,1,3020
"A2014017","2014-01-17","250m_16_days_NDVI","h11v04",2015273232616,1,696
"A2014033","2014-02-02","250m_16_days_NDVI","h11v04",2015274230731,1,419
"A2014049","2014-02-18","250m_16_days_NDVI","h11v04",2015274230726,1,346
"A2014065","2014-03-06","250m_16_days_NDVI","h11v04",2015276174440,1,46
"A2014081","2014-03-22","250m_16_days_NDVI","h11v04",2015276220536,1,93
"A2014097","2014-04-07","250m_16_days_NDVI","h11v04",2015278233627,1,162
"A2014113","2014-04-23","250m_16_days_NDVI","h11v04",2015281100829,1,3911
"A2014129","2014-05-09","250m_16_days_NDVI","h11v04",2015281110309,1,4713
"A2014145","2014-05-25","250m_16_days_NDVI","h11v04",2015287234316,1,7619
"A2014161","2014-06-10","250m_16_days_NDVI","h11v04",2015288065433,1,8856
"A2014177","2014-06-26","250m_16_days_NDVI","h11v04",2015288071425,1,8988
"A2014193","2014-07-12","250m_16_days_NDVI","h11v04",2015289002823,1,8966
"A2014209","2014-07-28","250m_16_days_NDVI","h11v04",2015289031737,1,8942
"A2014225","2014-08-13","250m_16_days_NDVI","h11v04",2015289161029,1,8741
"A2014241","2014-08-29","250m_16_days_NDVI","h11v04",2015289182939,1,8951
"A2014257","2014-09-14","250m_16_days_NDVI","h11v04",2015291062734,1,8252
"A2014273","2014-09-30","250m_16_days_NDVI","h11v04",2015291111950,1,4899
"A2014289","2014-10-16","250m_16_days_NDVI","h11v04",2015291191524,1,4653
"A2014305","2014-11-01","250m_16_days_NDVI","h11v04",2015292062245,1,3197
"A2014321","2014-11-17","250m_16_days_NDVI","h11v04",2015292071545,1,810
"A2014337","2014-12-03","250m_16_days_NDVI","h11v04",2015294144755,1,1366
"A2014353","2014-12-19","250m_16_days_NDVI","h11v04",2018226110138,1,603
"A2015001","2015-01-01","250m_16_days_NDVI","h11v04",2015295100909,1,2349
"A2015017","2015-01-17","250m_16_days_NDVI","h11v04",2015295120431,1,1874
"A2015033","2015-02-02","250m_16_days_NDVI","h11v04",2015296122948,1,290
"A2015049","2015-02-18","250m_16_days_NDVI","h11v04",2015296153210,1,327
"A2015065","2015-03-06","250m_16_days_NDVI","h11v04",2015298001549,1,3301
"A2015081","2015-03-22","250m_16_days_NDVI","h11v04",2015298190830,1,3528
"A2015097","2015-04-07","250m_16_days_NDVI","h11v04",2015299010156,1,3514
"A2015113","2015-04-23","250m_16_days_NDVI","h11v04",2015299023700,1,3675
"A2015129","2015-05-09","250m_16_days_NDVI","h11v04",2015299151955,1,5870
"A2015145","2015-05-25","250m_16_days_NDVI","h11v04",2015300234328,1,8516
"A2015161","2015-06-10","250m_16_days_NDVI","h11v04",2015301072608,1,8811
"A2015177","2015-06-26","250m_16_days_NDVI","h11v04",2015301215531,1,9049
"A2015193","2015-07-12","250m_16_days_NDVI","h11v04",2015304005512,1,8976
"A2015209","2015-07-28","250m_16_days_NDVI","h11v04",2015304024703,1,9292
"A2015225","2015-08-13","250m_16_days_NDVI","h11v04",2015305194221,1,8939
"A2015241","2015-08-29","250m_16_days_NDVI","h11v04",2015305210814,1,8587
"A2015257","2015-09-14","250m_16_days_NDVI","h11v04",2015306150806,1,7679
"A2015273","2015-09-30","250m_16_days_NDVI","h11v04",2015307054834,1,7821
"A2015289","2015-10-16","250m_16_days_NDVI","h11v04",2015317212026,1,4798
"A2015305","2015-11-01","250m_16_days_NDVI","h11v04",2015335131706,1,4539
"A2015321","2015-11-17","250m_16_days_NDVI","h11v04",2015343140123,1,629
"A2015337","2015-12-03","250m_16_days_NDVI","h11v04",2016004171645,1,2224
"A2015353","2015-12-19","250m_16_days_NDVI","h11v04",2018222150607,1,970
"A2016001","2016-01-01","250m_16_days_NDVI","h11v04",2016029064312,1,336
"A2016017","2016-01-17","250m_16_days_NDVI","h11v04",2016035114857,1,2145
"A2016033","2016-02-02","250m_16_days_NDVI","h11v04",2016050030454,1,893
"A2016049","2016-02-18","250m_16_days_NDVI","h11v04",2016109133552,1,185
"A2016065","2016-03-05","250m_16_days_NDVI","h11v04",2016111112523,1,2619
"A2016081","2016-03-21","250m_16_days_NDVI","h11v04",2017097233246,1,3686
"A2016097","2016-04-06","250m_16_days_NDVI","h11v04",2016114042609,1,3858
"A2016113","2016-04-22","250m_16_days_NDVI","h11v04",2016130115828,1,4029
"A2016129","2016-05-08","250m_16_days_NDVI","h11v04",2016147113046,1,7818
"A2016145","2016-05-24","250m_16_days_NDVI","h11v04",2016166150108,1,9135
"A2016161","2016-06-09","250m_16_days_NDVI","h11v04",2016184000518,1,8994
"A2016177","2016-06-25","250m_16_days_NDVI","h11v04",2016200095826,1,9264
"A2016193","2016-07-11","250m_16_days_NDVI","h11v04",2016215085231,1,9115
"A2016209","2016-07-27","250m_16_days_NDVI","h11v04",2016229083157,1,9169
"A2016225","2016-08-12","250m_16_days_NDVI","h11v04",2016243085447,1,9116
"A2016241","2016-08-28","250m_16_days_NDVI","h11v04",2016263150714,1,8917
"A2016257","2016-09-13","250m_16_days_NDVI","h11v04",2016274150354,1,8602
"A2016273","2016-09-29","250m_16_days_NDVI","h11v04",2016292070846,1,7385
"A2016289","2016-10-15","250m_16_days_NDVI","h11v04",2016306035303,1,4771
"A2016305","2016-10-31","250m_16_days_NDVI","h11v04",2016322045202,1,4770
"A2016321","2016-11-16","250m_16_days_NDVI","h11v04",2016340093021,1,2861
"A2016337","2016-12-02","250m_16_days_NDVI","h11v04",2016357040924,1,763
"A2016353","2016-12-18","250m_16_days_NDVI","h11v04",2017010085953,1,3140
"A2017001","2017-01-01","250m_16_days_NDVI","h11v04",2017020220142,1,1778
"A2017017","2017-01-17","250m_16_days_NDVI","h11v04",2017034073412,1,569
"A2017033","2017-02-02","250m_16_days_NDVI","h11v04",2017053061232,1,1172
"A2017049","2017-02-18","250m_16_days_NDVI","h11v04",2017066032245,1,560
"A2017065","2017-03-06","250m_16_days_NDVI","h11v04",2017082120829,1,3007
"A2017081","2017-03-22","250m_16_days_NDVI","h11v04",2017111085126,1,3686
"A2017097","2017-04-07","250m_16_days_NDVI","h11v04",2017116142556,1,3919
"A2017113","2017-04-23","250m_16_days_NDVI","h11v04",2017131014228,1,3921
"A2017129","2017-05-09","250m_16_days_NDVI","h11v04",2017145234029,1,4076
"A2017145","2017-05-25","250m_16_days_NDVI","h11v04",2017164072219,1,8502
"A2017161","2017-06-10","250m_16_days_NDVI","h11v04",2017178081300,1,8773
"A2017177","2017-06-26","250m_16_days_NDVI","h11v04",2017194070239,1,9206
"A2017193","2017-07-12","250m_16_days_NDVI","h11v04",2017209235857,1,9234
"A2017209","2017-07-28","250m_16_days_NDVI","h11v04",2017234111745,1,9139
"A2017225","2017-08-13","250m_16_days_NDVI","h11v04",2017250141708,1,8926
"A2017241","2017-08-29","250m_16_days_NDVI","h11v04",2017262085758,1,8351
"A2017257","2017-09-14","250m_16_days_NDVI","h11v04",2017276132813,1,7928
"A2017273","2017-09-30","250m_16_days_NDVI","h11v04",2017290090403,1,5233
"A2017289","2017-10-16","250m_16_days_NDVI","h11v04",2017310142025,1,4727
"A2017305","2017-11-01","250m_16_days_NDVI","h11v04",2017325113705,1,2420
